Item,Carbs,Calories,Protein,Meal,Day,Fat
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Roasted Vegetables (1 cup)",58,1020,66,Dinner,EVERY_DAY,45.3
"Marinated Hanger Steak (8 oz serving), Quinoa (1 cup), Peas and Carrots (1 cup)",69,1020,76,Dinner,EVERY_DAY,45.3
"Pork Tenderloin with a light marinade (8 oz serving), Brown Rice Pilaf (1 cup), Roasted Corn (1 cup)",118,1020,89,Dinner,EVERY_DAY,21.3
"Marinated Hanger Steak (8 oz serving), Parmesan Potato Wedges (5 wedges), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",62,1019,72,Dinner,EVERY_DAY,45.3
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Yellow Rice (1 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",71,1017,68,Dinner,EVERY_DAY,45.2
"Marinated Hanger Steak (8 oz serving), Brown Rice Pilaf (1 cup), Steamed Cauliflower (1/2 cup)",88,1015,77,Dinner,EVERY_DAY,39.4
"Marinated Hanger Steak (8 oz serving), Brown Rice Pilaf (1/2 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",62,1014,75,Dinner,EVERY_DAY,45.1
"Flat Iron Steak (8 oz serving), Boiled Potatoes (1/2 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",52,1010,66,Dinner,EVERY_DAY,44.9
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Parmesan Potato Wedges (10 wedges), Grilled Squash (1/2 cup)",85,1010,58,Dinner,EVERY_DAY,44.9
"Marinated Hanger Steak (8 oz serving), Mashed Sweet Potatoes (1/2 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",54,1010,74,Dinner,EVERY_DAY,44.9
"Marinated Hanger Steak (8 oz serving), Quinoa (1 cup), Roasted Corn (1/2 cup)",68,1010,75,Dinner,EVERY_DAY,44.9
"Pork Tenderloin with a light marinade (8 oz serving), Roasted Potatoes (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",78,1010,85,Dinner,EVERY_DAY,39.8
"Flat Iron Steak (8 oz serving), Couscous (1/2 cup), Grilled Squash (1 cup)",50,1008,63,Dinner,EVERY_DAY,44.8
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Lo Mein Noodles (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",69,1002,74,Dinner,EVERY_DAY,44.5
"Flat Iron Steak (8 oz serving), Jasmine Rice (1 cup), Roasted Brussels Sprouts (1 cup)",70,1000,64,Dinner,EVERY_DAY,44.4
"Honey Rosemary Flank Steak (8 oz serving), Quinoa (1 cup), Grilled Squash (1 cup)",68,1000,75,Dinner,EVERY_DAY,44.4
"Marinated Hanger Steak (8 oz serving), Brown Rice Pilaf (1/2 cup), Roasted Corn (1 cup)",85,1000,76,Dinner,EVERY_DAY,39.6
"Marinated Hanger Steak (8 oz serving), Quinoa (1 cup), Roasted Vegetables (1 cup)",59,1000,74,Dinner,EVERY_DAY,44.4
"Pork Tenderloin with a light marinade (8 oz serving), Roasted Potatoes (1 cup), Grilled Squash (1 cup)",76,1000,81,Dinner,EVERY_DAY,41.3
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Rosemary Roasted Red Potatoes (1 cup), Roasted Brussels Sprouts (1 cup)",113,1000,46,Dinner,EVERY_DAY,40.4
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Rosemary Roasted Red Potatoes (1/2 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",84,992,55,Lunch,EVERY_DAY,44.1
"Honey Rosemary Flank Steak (8 oz serving), Buttered Egg Noodles (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",50,992,87,Dinner,EVERY_DAY,44.1
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Roasted Potatoes (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",119,990,48,Lunch,EVERY_DAY,35.8
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Lo Mein Noodles (1/2 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",112,990,49,Lunch,EVERY_DAY,38.4
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Braised Collard Greens (1/2 cup)",55,990,66,Dinner,EVERY_DAY,44.0
"Flat Iron Steak (8 oz serving), Jasmine Rice (1 cup), Sauteed Green Beans (1 cup)",72,990,64,Dinner,EVERY_DAY,44.0
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Parmesan Potato Wedges (10 wedges), Roasted Broccolini (1cup)",85,990,60,Dinner,EVERY_DAY,44.0
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Parmesan Potato Wedges (10 wedges), Roasted Brussels Sprouts (1 cup)",85,990,60,Dinner,EVERY_DAY,44.0
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Rosemary Roasted Red Potatoes (1 cup), Grilled Squash (1 cup)",71,990,58,Dinner,EVERY_DAY,44.0
"Pork Tenderloin with a light marinade (8 oz serving), Brown Rice Pilaf (1 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",97,989,87,Dinner,EVERY_DAY,28.1
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Roasted Potatoes (1 cup), Roasted Corn (1 cup)",88,988,70,Dinner,EVERY_DAY,39.6
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Couscous (1/2 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",56,986,71,Dinner,EVERY_DAY,43.8
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Sauteed Green Beans (1/2 cup)",55,985,66,Dinner,EVERY_DAY,43.8
"Flat Iron Steak (8 oz serving), Jasmine Rice (1/2 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",48,984,63,Dinner,EVERY_DAY,43.7
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Lo Mein Noodles (1/2 cup), Grilled Squash (1 cup)",110,980,45,Lunch,EVERY_DAY,40.0
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Rosemary Roasted Red Potatoes (1/2 cup), Grilled Squash (1 cup)",102,980,43,Lunch,EVERY_DAY,43.6
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Whole Wheat Spaghetti (1 cup) with Tomato Sauce (1/2 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",112,980,50,Lunch,EVERY_DAY,36.9
"Flat Iron Steak (8 oz serving), Brown Rice Pilaf (1/2 cup), Grilled Squash (1/2 cup)",58,980,64,Dinner,EVERY_DAY,43.6
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Roasted Eggplant (1/2 cup)",52,980,65,Dinner,EVERY_DAY,43.6
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Roasted Vegetables (1/2 cup)",53,980,65,Dinner,EVERY_DAY,43.6
"Flat Iron Steak (8 oz serving), Jasmine Rice (1 cup), Roasted Vegetables (1 cup)",68,980,62,Dinner,EVERY_DAY,43.6
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Roasted Potatoes (1/2 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",35,980,78,Dinner,EVERY_DAY,43.6
"Pork Tenderloin with a light marinade (8 oz serving), Rosemary Roasted Red Potatoes (1 cup), Roasted Corn (1 cup)",88,980,83,Dinner,EVERY_DAY,32.9
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Couscous (1/2 cup), Grilled Squash (1 cup)",54,976,67,Dinner,EVERY_DAY,43.4
"Grilled Buffalo Chicken Salad (8 oz of grilled buffalo chicken, 3 cups of lettuce, 1/2 cup of broccoli, 1/2 cup of cucumber, 1 stem of green onion, 1 stalk of celery, 2 tbsp of ranch dressing), Whole Wheat Spaghetti (1 cup) with Tomato Sauce (1/2 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",60,975,61,Lunch,EVERY_DAY,43.3
"Roast Beef Sandwich (2 slices of white bread, 3 oz of roast beef, 1 slice of cheddar cheese, 1 tbsp of light mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Lo Mein Noodles (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",108,974,43,Lunch,EVERY_DAY,41.1
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Wild Rice (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",108,974,49,Lunch,EVERY_DAY,38.4
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Roasted Potatoes (1/2 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",85,972,55,Lunch,EVERY_DAY,43.2
"Smoked Turkey and Brie on a Roll (4 slices of turkey, 2 oz of brie cheese, 1 tbsp of honey mustard, 1 baguette roll), Rosemary Roasted Red Potatoes (1/2 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",102,972,56,Lunch,EVERY_DAY,37.8
"Chicken Caesar Salad (3 cups of shredded lettuce, 6 oz chicken breast, 1 tbsp of parmesan cheese, 1 tbsp of olive oil, 1 tbsp of caesar dressing), Buttered Egg Noodles (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",72,971,74,Dinner,EVERY_DAY,43.0
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Steamed Broccoli with Lemon (1/2 cup)",52,970,66,Dinner,EVERY_DAY,43.1
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Steamed Cauliflower (1 cup)",54,970,66,Dinner,EVERY_DAY,43.1
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Steamed Snow Peas (1 cup)",52,970,66,Dinner,EVERY_DAY,43.1
"Flat Iron Steak (8 oz serving), Jasmine Rice (1/2 cup), Roasted Corn (1 cup)",71,970,64,Dinner,EVERY_DAY,43.1
"Herb Roasted Chicken Breast (8 oz serving), Parmesan Potato Wedges (10 wedges), Braised Collard Greens (1 cup)",88,970,86,Dinner,EVERY_DAY,30.4
"Marinated Hanger Steak (8 oz serving), Parmesan Potato Wedges (5 wedges), Braised Collard Greens (1 cup)",59,970,72,Dinner,EVERY_DAY,43.1
"Marinated Hanger Steak (8 oz serving), Quinoa (1 cup), Braised Collard Greens (1/2 cup)",56,970,74,Dinner,EVERY_DAY,43.1
"Marinated Hanger Steak (8 oz serving), Quinoa (1 cup), Peas and Carrots (1/2 cup)",59,970,74,Dinner,EVERY_DAY,43.1
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Wild Rice (1 cup), Grilled Squash (1/2 cup)",62,968,70,Dinner,EVERY_DAY,43.0
"Grilled Buffalo Chicken Salad (8 oz of grilled buffalo chicken, 3 cups of lettuce, 1/2 cup of broccoli, 1/2 cup of cucumber, 1 stem of green onion, 1 stalk of celery, 2 tbsp of ranch dressing), Wild Rice (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",76,967,52,Lunch,EVERY_DAY,43.0
"Grilled Chicken Sandwich (2 slices of white bread, 4 oz chicken breast, 1 tbsp of mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Parmesan Potato Wedges (10 wedges), Roasted Vegetables (1/2 cup)",121,967,43,Dinner,EVERY_DAY,34.6
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Roasted Asparagus (1/2 cup)",51,965,66,Dinner,EVERY_DAY,42.9
"Marinated Hanger Steak (8 oz serving), Quinoa (1 cup), Sauteed Green Beans (1/2 cup)",56,965,74,Dinner,EVERY_DAY,42.9
"Grilled Buffalo Chicken Salad (8 oz of grilled buffalo chicken, 3 cups of lettuce, 1/2 cup of broccoli, 1/2 cup of cucumber, 1 stem of green onion, 1 stalk of celery, 2 tbsp of ranch dressing), Whole Wheat Spaghetti (1 cup) with Tomato Sauce (1/2 cup), Grilled Squash (1 cup)",78,963,49,Dinner,EVERY_DAY,42.8
"Cilantro Lime Chicken (8 oz serving), Lo Mein Noodles (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",70,962,82,Dinner,EVERY_DAY,39.3
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Quinoa (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",47,962,72,Dinner,EVERY_DAY,42.8
"Chicken Caesar Salad (3 cups of shredded lettuce, 6 oz chicken breast, 1 tbsp of parmesan cheese, 1 tbsp of olive oil, 1 tbsp of caesar dressing), Buttered Egg Noodles (1 cup), Grilled Squash (1 cup)",70,961,70,Lunch,EVERY_DAY,42.7
"Chicken Caesar Salad (3 cups of shredded lettuce, 6 oz chicken breast, 1 tbsp of parmesan cheese, 1 tbsp of olive oil, 1 tbsp of caesar dressing), Lo Mein Noodles (1 cup), Roasted Corn (1 cup)",106,961,74,Dinner,EVERY_DAY,26.8
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Roasted Potatoes (1/2 cup), Grilled Squash (1 cup)",103,960,43,Lunch,EVERY_DAY,41.8
"Chipotle BBQ Spiced Swordfish (or a similar fish) (8 oz serving), Parmesan Potato Wedges (10 wedges), Peas and Carrots (1 cup)",96,960,63,Dinner,EVERY_DAY,36.0
"Flat Iron Steak (8 oz serving), Parmesan Potato Wedges (5 wedges), Braised Collard Greens (1/2 cup)",51,960,62,Dinner,EVERY_DAY,42.7
"Herb Roasted Chicken Breast (8 oz serving), Parmesan Potato Wedges (10 wedges), Sauteed Green Beans (1 cup)",88,960,86,Dinner,EVERY_DAY,29.3
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Roasted Potatoes (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",75,960,62,Dinner,EVERY_DAY,42.7
"Marinated Hanger Steak (8 oz serving), Parmesan Potato Wedges (5 wedges), Sauteed Green Beans (1 cup)",59,960,72,Dinner,EVERY_DAY,42.7
"Marinated Hanger Steak (8 oz serving), Quinoa (1 cup), Roasted Vegetables (1/2 cup)",54,960,73,Dinner,EVERY_DAY,42.7
"Marinated Hanger Steak (8 oz serving), Wild Rice (1 cup), Grilled Squash (1/2 cup)",59,960,74,Dinner,EVERY_DAY,42.7
"Grilled Buffalo Chicken Salad (8 oz of grilled buffalo chicken, 3 cups of lettuce, 1/2 cup of broccoli, 1/2 cup of cucumber, 1 stem of green onion, 1 stalk of celery, 2 tbsp of ranch dressing), Wild Rice (1 cup), Grilled Squash (1 cup)",74,957,48,Lunch,EVERY_DAY,42.5
"Grilled Chicken Sandwich (2 slices of white bread, 4 oz chicken breast, 1 tbsp of mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Mashed Sweet Potatoes (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",108,957,46,Lunch,EVERY_DAY,37.9
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Steamed Cauliflower (1/2 cup)",51,955,65,Dinner,EVERY_DAY,42.4
"Flat Iron Steak (8 oz serving), Buttered Egg Noodles (1 cup), Steamed Snow Peas (1/2 cup)",50,955,65,Dinner,EVERY_DAY,42.4
"Honey Rosemary Flank Steak (8 oz serving), Quinoa (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",59,954,76,Dinner,EVERY_DAY,42.4
"Grilled Chicken Sandwich (2 slices of white bread, 4 oz chicken breast, 1 tbsp of mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Parmesan Potato Wedges (10 wedges), Roasted Asparagus (1/2 cup)",119,952,44,Lunch,EVERY_DAY,33.3
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Yellow Rice (1/2 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",48,952,67,Dinner,EVERY_DAY,42.3
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Rosemary Roasted Red Potatoes (1 cup), Roasted Brussels Sprouts (1/2 cup)",107,950,44,Lunch,EVERY_DAY,38.4
"Chipotle BBQ Spiced Swordfish (or a similar fish) (8 oz serving), Parmesan Potato Wedges (10 wedges), Roasted Corn (1/2 cup)",95,950,62,Dinner,EVERY_DAY,35.8
"Chipotle BBQ Spiced Swordfish (or a similar fish) (8 oz serving), Parmesan Potato Wedges (10 wedges), Sauteed Green Beans (1 cup)",90,950,63,Dinner,EVERY_DAY,37.6
"Flat Iron Steak (8 oz serving), Brown Rice Pilaf (1/2 cup), Sauteed Green Beans (1 cup)",60,950,66,Dinner,EVERY_DAY,42.2
"Herb Roasted Chicken Breast (8 oz serving), Parmesan Potato Wedges (10 wedges), Roasted Vegetables (1 cup)",84,950,84,Dinner,EVERY_DAY,30.9
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Parmesan Potato Wedges (10 wedges), Steamed Broccoli with Lemon (1 cup)",81,950,60,Dinner,EVERY_DAY,42.2
"Pork Tenderloin with a light marinade (8 oz serving), Yellow Rice (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",72,950,83,Dinner,EVERY_DAY,36.7
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Wild Rice (1 cup), Peas and Carrots (1 cup)",70,948,72,Dinner,EVERY_DAY,42.1
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Rosemary Roasted Red Potatoes (1 cup), Sauteed Green Beans (1/2 cup)",108,945,44,Lunch,EVERY_DAY,37.4
"Marinated Hanger Steak (8 oz serving), Roasted Potatoes (1 cup), Roasted Asparagus (1/2 cup)",60,945,72,Dinner,EVERY_DAY,42.0
"Caprese Sandwich (2 slices of French bread, 2 oz of mozzarella, 2 tbsp of balsamic vinaigrette, fresh basil, and tomato slices), Whole Wheat Spaghetti (1 cup) with Tomato Sauce (1/2 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",120,944,40,Lunch,EVERY_DAY,33.8
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Lo Mein Noodles (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",78,944,63,Dinner,EVERY_DAY,42.0
"Lemon Pepper Rotisserie Chicken (1/2 chicken), Rosemary Roasted Red Potatoes (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",62,944,59,Dinner,EVERY_DAY,42.0
"Grilled Chicken Sandwich (2 slices of white bread, 4 oz chicken breast, 1 tbsp of mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Parmesan Potato Wedges (10 wedges), Steamed Cauliflower (1/2 cup)",119,942,43,Lunch,EVERY_DAY,32.7
"Grilled Chicken Sandwich (2 slices of white bread, 4 oz chicken breast, 1 tbsp of mayonnaise, 1 leaf of lettuce, 1/2 of a small tomato), Parmesan Potato Wedges (10 wedges), Steamed Snow Peas (1/2 cup)",118,942,43,Lunch,EVERY_DAY,33.1
"Grilled Chicken Breast with a cilantro marinade (8 oz serving), Rosemary Roasted Red Potatoes (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",59,942,80,Dinner,EVERY_DAY,41.9
"Rotisserie Chicken (1/4 chicken), Brown Rice Pilaf (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",84,942,64,Dinner,EVERY_DAY,38.9
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Rosemary Roasted Red Potatoes (1 cup), Roasted Vegetables (1/2 cup)",106,940,43,Lunch,EVERY_DAY,38.2
"Flat Iron Steak (8 oz serving), Lo Mein Noodles (1/2 cup), Roasted Broccolini (1cup)",51,940,65,Dinner,EVERY_DAY,41.8
"Flat Iron Steak (8 oz serving), Lo Mein Noodles (1/2 cup), Roasted Brussels Sprouts (1 cup)",51,940,65,Dinner,EVERY_DAY,41.8
"Grilled Chicken Breast with a cilantro marinade (8 oz serving), Rosemary Roasted Red Potatoes (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",79,940,72,Dinner,EVERY_DAY,37.3
