id,Name_of_meal,isSnack,Breakfast,Dinner,Lunch,Gluten_Free,Vegan,Dairy_Free,Vegetarian,Keto_Friendly,Paleo,How_many_servings_per_recipe,Carbs,Protein,Calories,Fat,Fiber,Sugar,allergies
61e6c58be72747a23aec3ba2,"white fish (4 oz), 1 cup of soy milk, 1/2 cup of peppers",Yes,,Yes,,Yes,,,,,,1,17,40,341,0,0,0,
61e6c56be72747a23aec3b2b,"grilled chicken (4 oz), Orzo (2 oz), 1/2 cup of carrots",Yes,,Yes,,Yes,,Yes,,,,1,49,34,350,0,0,0,
61e6c568e72747a23aec3b1e,"grilled chicken (4 oz), 1 cup of brown rice, 1 cup of cucumber",Yes,,Yes,,Yes,,Yes,,,,1,49,33,355,0,0,0,
61e6c580e72747a23aec3b79,"Salmon (4 oz), 1 piece of pita bread, 2 cups of green beans",Yes,,Yes,,,,Yes,,,,1,42,33,358,0,0,0,
61e6c591e72747a23aec3bb5,"tuna (4 oz), 1 cup of white rice, 1 cup of spinach",Yes,,Yes,,Yes,,Yes,,,,1,45,37,360,0,0,0,
61e6c572e72747a23aec3b47,"1 cup of soy milk, Orzo (2 oz), 1 cup of cabbage",Yes,,Yes,,Yes,Yes,,Yes,,,1,62,20,362,0,0,0,
61e6c588e72747a23aec3b96,"white fish (4 oz), 1 tortilla, 1/2 cup of peppers",Yes,,Yes,,Yes,,Yes,,,,1,32,33,373,0,0,0,
61e6c56ce72747a23aec3b2d,"grilled chicken (4 oz), Orzo (2 oz), 1 cup of cauliflower",Yes,,Yes,,Yes,,Yes,,,,1,53,37,374,0,0,0,
61e6c570e72747a23aec3b3c,"Grilled Chicken (8 oz), Croutons (12 croutons), brussels sprouts (~12 sprouts)",Yes,,Yes,,Yes,,Yes,,,,1,28,58,378,0,0,0,
61e6c58ee72747a23aec3baa,"Grilled shrimp (~10 shrimp), 1 cup of brown rice, 1 cup of broccoli",Yes,,Yes,,Yes,,Yes,Yes,,,1,60,25,380,0,0,0,
61e6c56de72747a23aec3b32,"grilled chicken (4 oz), 1 cup of beans, 1/2 cup of peppers",Yes,,Yes,,Yes,,Yes,,,,1,60,39,382,0,0,0,
61e6c572e72747a23aec3b46,"1 cup of soy milk, Orzo (2 oz), 1 cup of broccoli",Yes,,Yes,,Yes,Yes,,Yes,,,1,65,22,382,0,0,0,
61e6c588e72747a23aec3b97,"white fish (4 oz), 2 slices of whole wheat bread, 1 cup of broccoli",Yes,,Yes,,,,Yes,,,,1,37,36,384,0,0,0,
61e6c590e72747a23aec3bb2,"tuna (4 oz), 1 tortilla, 1/2 cup of sweet potatoes",Yes,,Yes,,Yes,,Yes,,,,1,41,37,385,0,0,0,
61e6c5a5e72747a23aec3c00,"Ground turkey (3 oz), 1 piece of pita bread, asparagus (~10 stalks)",Yes,,Yes,,,,Yes,,,,1,31,38,387,0,0,0,
61e6c56ce72747a23aec3b2e,"grilled chicken (4 oz), Orzo (2 oz), 1 cup of eggplant",Yes,,Yes,,Yes,,Yes,,,,1,51,34,390,0,0,0,
61e6c57ce72747a23aec3b69,"Salmon (4 oz), 1 tortilla, 1 cup of eggplant",Yes,,Yes,,Yes,,Yes,,,,1,36,30,391,0,0,0,
61e6c569e72747a23aec3b22,"grilled chicken (4 oz), 1 cup of white rice, 1 cup of eggplant",Yes,,Yes,,Yes,,Yes,,,,1,53,31,394,0,0,0,
61e6c572e72747a23aec3b48,"1 cup of soy milk, Orzo (2 oz), 1/2 cup of peas",Yes,,Yes,,Yes,Yes,,Yes,,,1,67,22,394,0,0,0,
61e6c57be72747a23aec3b68,"Salmon (4 oz), 1 tortilla, brussels sprouts (~12 sprouts)",Yes,,Yes,,Yes,,Yes,,,,1,44,35,395,0,0,0,
61e6c589e72747a23aec3b98,"white fish (4 oz), 2 slices of whole wheat bread, 1/2 cup of squash",Yes,,Yes,,,,Yes,,,,1,34,34,397,0,0,0,
61e6c57ce72747a23aec3b6a,"Salmon (4 oz), 1 cup of brown rice, 1 cup of cucumber",Yes,,Yes,,Yes,,Yes,,,,1,49,32,397,0,0,0,
61e6c5a4e72747a23aec3bf9,"3 eggs, 1 tortilla, 1/2 cup of peppers",Yes,,Yes,,,,Yes,Yes,,,1,35,23,401,0,0,0,
61e6c589e72747a23aec3b99,"white fish (4 oz), 2 slices of whole wheat bread, 1/2 cup of sweet potatoes",Yes,,Yes,,,,Yes,,,,1,40,33,406,0,0,0,
61e6c580e72747a23aec3b7a,"Salmon (4 oz), 1 piece of pita bread, Snap 2 cups of peas",Yes,,Yes,,,,Yes,,,,1,48,39,424,0,0,0,
61e6c57ce72747a23aec3b6b,"Salmon (4 oz), 1 cup of brown rice, 1 cup of cauliflower",Yes,,Yes,,Yes,,Yes,,,,1,55,34,431,0,0,0,
61e6c57ee72747a23aec3b72,"Salmon (4 oz), Orzo (2 oz), 1/2 cup of peas",Yes,,Yes,,Yes,,Yes,,,,1,56,36,433,0,0,0,
61e6c5a4e72747a23aec3bfa,"3 eggs, 2 slices of whole wheat bread, 1/2 cup of sweet potatoes",Yes,,Yes,,,,Yes,Yes,,,1,43,23,434,0,0,0,
61e6c57fe72747a23aec3b76,"Salmon (4 oz), Orzo (2 oz), 2 cups of green beans",Yes,,Yes,,Yes,,Yes,,,,1,59,36,434,0,0,0,
61e6c5a6e72747a23aec3c02,"Ground turkey (3 oz), 1 cup of soy milk, 1/2 cup of sweet potatoes",Yes,,Yes,,Yes,,,,,,1,26,42,435,0,0,0,
61e6c57fe72747a23aec3b74,"Salmon (4 oz), Orzo (2 oz), 1/2 cup of corn",Yes,,Yes,,Yes,,Yes,,,,1,59,35,438,0,0,0,
61e6c587e72747a23aec3b94,"Salmon (8 oz), hummus (2 tbsp), 1 cup of broccoli",Yes,,Yes,,Yes,,Yes,,,,1,19,56,441,0,0,0,
61e6c5a9e72747a23aec3c0d,"Pork tenderloin (4 oz), 1 cup of brown rice, 2 cups of green beans",Yes,,Yes,,Yes,,Yes,,,,1,60,38,446,0,0,0,
61e6c571e72747a23aec3b40,"Grilled Chicken (8 oz), 1 cup of soy milk, 1/2 cup of corn",Yes,,Yes,,Yes,,,,,,1,30,66,447,0,0,0,
61e6c5a4e72747a23aec3bfb,"3 eggs, 1 cup of brown rice, 1/2 cup of carrots",Yes,,Yes,,Yes,,Yes,Yes,,,1,53,24,464,0,0,0,
61e6c590e72747a23aec3bb1,"Grilled shrimp (~10 shrimp), 1 cup of soy milk, 2 cups of sweet potatoes",Yes,,Yes,,Yes,,,Yes,,,1,71,31,465,0,0,0,
61e6c581e72747a23aec3b7c,"Salmon (4 oz), 1 cup of beans, brussels sprouts (~12 sprouts)",Yes,,Yes,,Yes,,Yes,,,,1,71,43,475,0,0,0,
61e6c589e72747a23aec3b9a,"white fish (4 oz), 1 cup of brown rice, 1/2 cup of corn",Yes,,Yes,,Yes,,Yes,,,,1,60,36,482,0,0,0,
61e6c581e72747a23aec3b7d,"Salmon (4 oz), 1 cup of beans, 1/2 cup of sweet potatoes",Yes,,Yes,,Yes,,Yes,,,,1,69,38,482,0,0,0,
61e6c588e72747a23aec3b95,"Salmon (8 oz), 1 cup of soy milk, 1/2 cup of carrots",Yes,,Yes,,Yes,,,,,,1,20,62,485,0,0,0,
61e6c5a6e72747a23aec3c01,"Ground turkey (3 oz), 1 cup of beans, 1 cup of cucumber",Yes,,Yes,,Yes,,Yes,,,,1,58,44,486,0,0,0,
61e6c5aae72747a23aec3c11,"Pork tenderloin (8 oz), 1 tortilla, 1 cup of spinach",Yes,,Yes,,Yes,,Yes,,,,1,28,63,492,0,0,0,
61e6c573e72747a23aec3b4a,"1 cup of beans, 1 cup of white rice, 1 cup of broccoli",Yes,,Yes,,Yes,Yes,Yes,Yes,,,1,109,20,498,0,0,0,
61e6c582e72747a23aec3b81,"Salmon (8 oz), 1 tortilla, 1/2 cup of peppers",Yes,,Yes,,Yes,,Yes,,,,1,34,55,510,0,0,0,
61e6c57fe72747a23aec3b75,"Salmon (4 oz), Orzo (2 oz), 2 cups of corn",Yes,,Yes,,Yes,,Yes,,,,1,75,38,510,0,0,0,
61e6c567e72747a23aec3b19,"grilled chicken (4 oz), 1 tortilla, 2 cups of sweet potatoes",Yes,,Yes,,Yes,,Yes,,,,1,82,34,511,0,0,0,
61e6c571e72747a23aec3b41,"Grilled Chicken (8 oz), 1 cup of soy milk, 2 cups of corn",Yes,,Yes,,Yes,,,,,,1,46,69,519,0,0,0,
61e6c56ee72747a23aec3b35,"Grilled Chicken (8 oz), 1 cup of white rice, 2 cups of green beans",Yes,,Yes,,Yes,,Yes,,,,1,62,60,520,0,0,0,
61e6c583e72747a23aec3b82,"Salmon (8 oz), 2 slices of whole wheat bread, 1 cup of broccoli",Yes,,Yes,,,,Yes,,,,1,39,58,521,0,0,0,
61e6c57be72747a23aec3b67,"2 cups of tofu, 1 cup of soy milk, 1/2 cup of peppers",Yes,,Yes,,Yes,Yes,,Yes,,,1,27,52,522,0,0,0,
61e6c586e72747a23aec3b90,"Salmon (8 oz), 1 piece of pita bread, 1/2 cup of squash",Yes,,Yes,,,,Yes,,,,1,35,56,524,0,0,0,
61e6c56de72747a23aec3b33,"Grilled Chicken (8 oz), 1 cup of brown rice, 1/2 cup of squash",Yes,,Yes,,Yes,,Yes,,,,1,54,59,531,0,0,0,
61e6c587e72747a23aec3b91,"Salmon (8 oz), 1 piece of pita bread, 1/2 cup of sweet potatoes",Yes,,Yes,,,,Yes,,,,1,41,55,533,0,0,0,
61e6c5ade72747a23aec3c1a,"Pork tenderloin (8 oz), Orzo (2 oz), 1 cup of spinach",Yes,,Yes,,Yes,,Yes,,,,1,43,66,533,0,0,0,
61e6c574e72747a23aec3b4e,"2 cups of tofu, 1 tortilla, 1 cup of spinach",Yes,,Yes,,Yes,Yes,Yes,Yes,,,1,38,45,542,0,0,0,
61e6c583e72747a23aec3b83,"Salmon (8 oz), 2 slices of whole wheat bread, 1/2 cup of sweet potatoes",Yes,,Yes,,,,Yes,,,,1,42,55,543,0,0,0,
61e6c58be72747a23aec3ba1,"white fish (4 oz), 1 cup of soy milk, 2 cups of sweet potatoes",Yes,,Yes,,Yes,,,,,,1,66,43,550,0,0,0,
61e6c570e72747a23aec3b3e,"Grilled Chicken (8 oz), 1 cup of beans, 1/2 cup of corn",Yes,,Yes,,Yes,,Yes,,,,1,72,67,559,0,0,0,
61e6c5ade72747a23aec3c19,"Pork tenderloin (8 oz), Orzo (2 oz), 1 cup of cabbage",Yes,,Yes,,Yes,,Yes,,,,1,50,67,561,0,0,0,
61e6c574e72747a23aec3b4d,"2 cups of tofu, 1 tortilla, asparagus (~10 stalks)",Yes,,Yes,,Yes,Yes,Yes,Yes,,,1,43,48,567,0,0,0,
61e6c585e72747a23aec3b8b,"Salmon (8 oz), Orzo (2 oz), 1 cup of cabbage",Yes,,Yes,,Yes,,Yes,,,,1,52,59,567,0,0,0,
61e6c569e72747a23aec3b23,"grilled chicken (4 oz), 2 cups of white rice, 1 cup of cabbage",Yes,,Yes,,Yes,,Yes,,,,1,97,36,567,0,0,0,
61e6c582e72747a23aec3b7f,"Salmon (8 oz), 1 tortilla, 1/2 cup of sweet potatoes",Yes,,Yes,,Yes,,Yes,,,,1,43,55,568,0,0,0,
61e6c58fe72747a23aec3bad,"Grilled shrimp (~10 shrimp), 2 cups of white rice, 1 cup of cauliflower",Yes,,Yes,,Yes,,Yes,Yes,,,1,103,28,568,0,0,0,
61e6c585e72747a23aec3b89,"Salmon (8 oz), 1 cup of white rice, 1 cup of cabbage",Yes,,Yes,,Yes,,Yes,,,,1,54,56,571,0,0,0,
61e6c568e72747a23aec3b20,"grilled chicken (4 oz), 2 cups of brown rice, 1/2 cup of peppers",Yes,,Yes,,Yes,,Yes,,,,1,94,37,573,0,0,0,
61e6c5ade72747a23aec3c1b,"Pork tenderloin (8 oz), Orzo (2 oz), 1 cup of cauliflower",Yes,,Yes,,Yes,,Yes,,,,1,52,69,576,0,0,0,
61e6c592e72747a23aec3bb7,"tuna (4 oz), 2 cups of white rice, 1/2 cup of peppers",Yes,,Yes,,Yes,,Yes,,,,1,93,41,576,0,0,0,
61e6c593e72747a23aec3bbc,"Ground beef (4 oz), 2 slices of whole wheat bread, brussels sprouts (~12 sprouts)",Yes,,Yes,,,,Yes,,,,1,42,26,580,0,0,0,
61e6c5ace72747a23aec3c18,"Pork tenderloin (8 oz), Orzo (2 oz), 1 cup of broccoli",Yes,,Yes,,Yes,,Yes,,,,1,53,69,581,0,0,0,
61e6c5afe72747a23aec3c22,"Pork tenderloin (8 oz), 1 cup of beans, 1 cup of cucumber",Yes,,Yes,,Yes,,Yes,,,,1,58,72,581,0,0,0,
61e6c574e72747a23aec3b4f,"2 cups of tofu, 2 slices of whole wheat bread, 1/2 cup of corn",Yes,,Yes,,,Yes,Yes,Yes,,,1,52,47,582,0,0,0,
61e6c56be72747a23aec3b2a,"grilled chicken (4 oz), 2 cups of pasta, 1/2 cup of peppers",Yes,,Yes,,,,Yes,,,,1,92,43,583,0,0,0,
61e6c58fe72747a23aec3bae,"Grilled shrimp (~10 shrimp), 2 cups of white rice, 1 cup of eggplant",Yes,,Yes,,Yes,,Yes,Yes,,,1,101,25,584,0,0,0,
61e6c56ee72747a23aec3b36,"Grilled Chicken (8 oz), 1 cup of white rice, Snap 2 cups of peas",Yes,,Yes,,Yes,,Yes,,,,1,68,66,586,0,0,0,
61e6c572e72747a23aec3b45,"1 cup of soy milk, 2 cups of pasta, 1/2 cup of peppers",Yes,,Yes,,,Yes,,Yes,,,1,103,28,586,0,0,0,
61e6c58ee72747a23aec3bac,"Grilled shrimp (~10 shrimp), 2 cups of white rice, 2 cups of green beans",Yes,,Yes,,Yes,,Yes,Yes,,,1,109,28,586,0,0,0,
61e6c585e72747a23aec3b8a,"Salmon (8 oz), Orzo (2 oz), 1 cup of broccoli",Yes,,Yes,,Yes,,Yes,,,,1,55,61,587,0,0,0,
61e6c587e72747a23aec3b93,"Salmon (8 oz), 1 cup of beans, 1/2 cup of peppers",Yes,,Yes,,Yes,,Yes,,,,1,61,63,590,0,0,0,
61e6c584e72747a23aec3b88,"Salmon (8 oz), 1 cup of white rice, 1 cup of broccoli",Yes,,Yes,,Yes,,Yes,,,,1,57,58,591,0,0,0,
61e6c573e72747a23aec3b49,"1 cup of soy milk, Orzo (2 oz), 2 cups of peas",Yes,,Yes,,Yes,Yes,,Yes,,,1,104,35,595,0,0,0,
61e6c56ee72747a23aec3b34,"Grilled Chicken (8 oz), 1 cup of white rice, 2 cups of corn",Yes,,Yes,,Yes,,Yes,,,,1,78,62,596,0,0,0,
61e6c569e72747a23aec3b21,"grilled chicken (4 oz), 1 cup of white rice, 2 cups of peas",Yes,,Yes,,Yes,,Yes,,,,1,95,47,596,0,0,0,
61e6c56ae72747a23aec3b26,"grilled chicken (4 oz), 2 cups of white rice, 1 cup of eggplant",Yes,,Yes,,Yes,,Yes,,,,1,97,35,598,0,0,0,
61e6c569e72747a23aec3b24,"grilled chicken (4 oz), 2 cups of white rice, 1/2 cup of peas",Yes,,Yes,,Yes,,Yes,,,,1,102,38,599,0,0,0,
61e6c585e72747a23aec3b8c,"Salmon (8 oz), Orzo (2 oz), 2 cups of green beans",Yes,,Yes,,Yes,,Yes,,,,1,60,61,600,0,0,0,
61e6c56ae72747a23aec3b27,"grilled chicken (4 oz), 2 cups of white rice, 1/2 cup of squash",Yes,,Yes,,Yes,,Yes,,,,1,97,36,600,0,0,0,
61e6c58ce72747a23aec3ba5,"White Fish (8 oz), 1 cup of white rice, 1 cup of spinach",Yes,,Yes,,Yes,,Yes,,,,1,45,61,601,0,0,0,
61e6c5ade72747a23aec3c1c,"Pork tenderloin (8 oz), Orzo (2 oz), 1/2 cup of sweet potatoes",Yes,,Yes,,Yes,,Yes,,,,1,56,66,603,0,0,0,
61e6c58ce72747a23aec3ba3,"White Fish (8 oz), 1 tortilla, 1 cup of broccoli",Yes,,Yes,,Yes,,Yes,,,,1,38,64,604,0,0,0,
61e6c591e72747a23aec3bb4,"tuna (4 oz), 2 cups of brown rice, 1/2 cup of carrots",Yes,,Yes,,Yes,,Yes,,,,1,94,43,605,0,0,0,
61e6c58de72747a23aec3ba7,"White Fish (8 oz), Orzo (2 oz), 1/2 cup of peppers",Yes,,Yes,,Yes,,Yes,,,,1,47,64,609,0,0,0,
61e6c57be72747a23aec3b65,"2 cups of tofu, Orzo (2 oz), 1 cup of cabbage",Yes,,Yes,,Yes,Yes,Yes,Yes,,,1,60,49,611,0,0,0,
61e6c592e72747a23aec3bb9,"tuna (4 oz), 1 cup of beans, 2 cups of sweet potatoes",Yes,,Yes,,Yes,,Yes,,,,1,108,48,616,0,0,0,
61e6c5aae72747a23aec3c0f,"Pork tenderloin (4 oz), 2 cups of white rice, 1 cup of cauliflower",Yes,,Yes,,Yes,,Yes,,,,1,98,41,621,0,0,0,
61e6c577e72747a23aec3b59,"2 cups of tofu, 1 cup of white rice, 1 cup of cauliflower",Yes,,Yes,,Yes,Yes,Yes,Yes,,,1,64,48,630,0,0,0,
61e6c570e72747a23aec3b3f,"Grilled Chicken (8 oz), 1 cup of beans, 2 cups of corn",Yes,,Yes,,Yes,,Yes,,,,1,88,70,631,0,0,0,
61e6c581e72747a23aec3b7e,"Salmon (4 oz), 1 cup of beans, 2 cups of sweet potatoes",Yes,,Yes,,Yes,,Yes,,,,1,109,41,633,0,0,0,
61e6c57fe72747a23aec3b73,"Salmon (4 oz), Orzo (2 oz), 2 cups of peas",Yes,,Yes,,Yes,,Yes,,,,1,93,49,634,0,0,0,
61e6c5afe72747a23aec3c23,"Pork tenderloin (8 oz), 1 cup of beans, brussels sprouts (~12 sprouts)",Yes,,Yes,,Yes,,Yes,,,,1,70,76,635,0,0,0,
61e6c571e72747a23aec3b42,"1 cup of soy milk, 2 cups of pasta, 1/2 cup of squash",Yes,,Yes,,,Yes,,Yes,,,1,106,29,635,0,0,0,
61e6c5aae72747a23aec3c10,"Pork tenderloin (4 oz), 2 cups of white rice, 1 cup of eggplant",Yes,,Yes,,Yes,,Yes,,,,1,96,38,637,0,0,0,
61e6c57ee72747a23aec3b70,"Salmon (4 oz), 2 cups of pasta, 1 cup of cabbage",Yes,,Yes,,,,Yes,,,,1,95,43,641,0,0,0,
61e6c56ae72747a23aec3b28,"grilled chicken (4 oz), 2 cups of pasta, 1/2 cup of sweet potatoes",Yes,,Yes,,,,Yes,,,,1,101,43,641,0,0,0,
61e6c587e72747a23aec3b92,"Salmon (8 oz), 1 cup of beans, 1/2 cup of corn",Yes,,Yes,,Yes,,Yes,,,,1,72,65,643,0,0,0,
61e6c58ae72747a23aec3b9e,"white fish (4 oz), 2 cups of brown rice, 1/2 cup of peppers",Yes,,Yes,,Yes,,Yes,,,,1,93,39,644,0,0,0,
61e6c592e72747a23aec3bb8,"tuna (4 oz), 2 cups of pasta, 1 cup of broccoli",Yes,,Yes,,,,Yes,,,,1,97,52,644,0,0,0,
61e6c571e72747a23aec3b43,"1 cup of soy milk, 2 cups of pasta, 1/2 cup of sweet potatoes",Yes,,Yes,,,Yes,,Yes,,,1,112,28,644,0,0,0,
61e6c577e72747a23aec3b5a,"2 cups of tofu, 1 cup of white rice, 1 cup of eggplant",Yes,,Yes,,Yes,Yes,Yes,Yes,,,1,62,45,646,0,0,0,
61e6c57de72747a23aec3b6c,"Salmon (4 oz), 2 cups of brown rice, 1 cup of cauliflower",Yes,,Yes,,Yes,,Yes,,,,1,99,39,646,0,0,0,
61e6c578e72747a23aec3b5b,"2 cups of tofu, 1 cup of white rice, 1/2 cup of squash",Yes,,Yes,,Yes,Yes,Yes,Yes,,,1,62,46,648,0,0,0,
61e6c575e72747a23aec3b50,"2 cups of tofu, 2 slices of whole wheat bread, 2 cups of corn",Yes,,Yes,,,Yes,Yes,Yes,,,1,68,50,654,0,0,0,
61e6c58de72747a23aec3ba8,"White Fish (8 oz), 1 cup of beans, asparagus (~10 stalks)",Yes,,Yes,,Yes,,Yes,,,,1,60,72,661,0,0,0,
61e6c57de72747a23aec3b6d,"Salmon (4 oz), 2 cups of brown rice, 1 cup of eggplant",Yes,,Yes,,Yes,,Yes,,,,1,97,36,662,0,0,0,
61e6c5a9e72747a23aec3c0b,"Ground turkey (6 oz), 1 piece of pita bread, 1/2 cup of sweet potatoes",Yes,,Yes,,,,Yes,,,,1,39,65,663,0,0,0,
61e6c593e72747a23aec3bbd,"Ground beef (4 oz), 1 cup of brown rice, 1/2 cup of corn",Yes,,Yes,,Yes,,Yes,,,,1,60,24,663,0,0,0,
61e6c57de72747a23aec3b6e,"Salmon (4 oz), 2 cups of brown rice, 1/2 cup of squash",Yes,,Yes,,Yes,,Yes,,,,1,97,37,664,0,0,0,
61e6c593e72747a23aec3bbb,"Ground beef (4 oz), 1 tortilla, Snap 2 cups of peas",Yes,,Yes,,Yes,,Yes,,,,1,49,30,669,0,0,0,
61e6c57ee72747a23aec3b71,"Salmon (4 oz), 2 cups of pasta, 1/2 cup of peas",Yes,,Yes,,,,Yes,,,,1,100,45,673,0,0,0,
61e6c57de72747a23aec3b6f,"Salmon (4 oz), 2 cups of brown rice, 1/2 cup of sweet potatoes",Yes,,Yes,,Yes,,Yes,,,,1,103,36,673,0,0,0,
61e6c598e72747a23aec3bcd,"Ground beef (4 oz), 1 cup of beans, 2 cups of green beans",Yes,,Yes,,Yes,,Yes,,,,1,70,32,683,0,0,0,
61e6c58be72747a23aec3ba0,"white fish (4 oz), 2 cups of pasta, 1 cup of cauliflower",Yes,,Yes,,,,Yes,,,,1,96,48,685,0,0,0,
61e6c597e72747a23aec3bcb,"Ground beef (4 oz), 1 cup of beans, 1/2 cup of corn",Yes,,Yes,,Yes,,Yes,,,,1,70,31,687,0,0,0,
61e6c580e72747a23aec3b77,"Salmon (4 oz), 2 cups of quinoa, 1 cup of eggplant",Yes,,Yes,,Yes,,Yes,,,,1,93,42,690,0,0,0,
61e6c580e72747a23aec3b78,"Salmon (4 oz), 2 cups of quinoa, 1/2 cup of squash",Yes,,Yes,,Yes,,Yes,,,,1,93,43,692,0,0,0,
61e6c589e72747a23aec3b9b,"white fish (4 oz), 2 cups of brown rice, 1/2 cup of squash",Yes,,Yes,,Yes,,Yes,,,,1,96,40,693,0,0,0,
61e6c56fe72747a23aec3b3a,"Grilled Chicken (8 oz), 2 cups of pasta, 1 cup of spinach",Yes,,Yes,,,,Yes,,,,1,89,69,695,0,0,0,
61e6c5afe72747a23aec3c21,"Pork tenderloin (8 oz), 1 cup of beans, Snap 2 cups of peas",Yes,,Yes,,Yes,,Yes,,,,1,76,80,699,0,0,0,
61e6c58ae72747a23aec3b9c,"white fish (4 oz), 2 cups of brown rice, 1/2 cup of sweet potatoes",Yes,,Yes,,Yes,,Yes,,,,1,102,39,702,0,0,0,
61e6c56fe72747a23aec3b39,"Grilled Chicken (8 oz), 2 cups of pasta, 1/2 cup of carrots",Yes,,Yes,,,,Yes,,,,1,94,69,714,0,0,0,
61e6c582e72747a23aec3b80,"Salmon (8 oz), 1 tortilla, 2 cups of sweet potatoes",Yes,,Yes,,Yes,,Yes,,,,1,83,58,719,0,0,0,
61e6c56fe72747a23aec3b38,"Grilled Chicken (8 oz), 2 cups of pasta, asparagus (~10 stalks)",Yes,,Yes,,,,Yes,,,,1,94,72,720,0,0,0,
61e6c577e72747a23aec3b58,"2 cups of tofu, 1 cup of white rice, 2 cups of corn",Yes,,Yes,,Yes,Yes,Yes,Yes,,,1,86,50,724,0,0,0,
61e6c5a5e72747a23aec3bff,"Ground turkey (3 oz), 2 cups of quinoa, 1 cup of cabbage",Yes,,Yes,,Yes,,Yes,,,,1,92,48,724,0,0,0,
61e6c5a1e72747a23aec3bee,"steak (6 oz), 1 cup of brown rice, 1 cup of cauliflower",Yes,,Yes,,Yes,,Yes,,,,1,54,51,725,0,0,0,
61e6c56ce72747a23aec3b2f,"grilled chicken (4 oz), 2 cups of quinoa, 2 cups of corn",Yes,,Yes,,Yes,,Yes,,,,1,117,48,726,0,0,0,
61e6c5aae72747a23aec3c0e,"Pork tenderloin (4 oz), 2 cups of brown rice, Snap 2 cups of peas",Yes,,Yes,,Yes,,Yes,,,,1,110,49,727,0,0,0,
61e6c57be72747a23aec3b66,"2 cups of tofu, 1 cup of soy milk, 2 cups of sweet potatoes",Yes,,Yes,,Yes,Yes,,Yes,,,1,76,55,731,0,0,0,
61e6c5a2e72747a23aec3bf3,"steak (6 oz), 1 cup of white rice, 1/2 cup of squash",Yes,,Yes,,Yes,,Yes,,,,1,52,48,732,0,0,0,
61e6c594e72747a23aec3bbe,"Ground beef (4 oz), 1 cup of brown rice, 2 cups of corn",Yes,,Yes,,Yes,,Yes,,,,1,76,27,735,0,0,0,
61e6c5a7e72747a23aec3c05,"Ground turkey (6 oz), 1 cup of white rice, 1/2 cup of corn",Yes,,Yes,,Yes,,Yes,,,,1,60,67,738,0,0,0,
61e6c5a5e72747a23aec3bfe,"Ground turkey (3 oz), 2 cups of pasta, 2 cups of green beans",Yes,,Yes,,,,Yes,,,,1,102,50,739,0,0,0,
