athlete_id,name,age,gender,sport_league,sport_type,height_cm,weight_kg,body_fat_percentage,bmr_calories,activity_level,training_experience_years,competition_level,user_scenario,goals,adherence_rate,created_date
ATH000019,Tennis Elite Athlete 19,23,M,Tennis,Power,167,82,7.9,1874.0,Very High,15,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000020,Boxing Professional 20,39,F,Boxing,Power,156,68,14.3,1412.0,Very High,10,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000021,NBA Fitness Enthusiast 21,29,F,NBA,Team Sport,199,97,17.2,1815.0,High,5,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000022,Cycling Elite Athlete 22,26,F,Cycling,Endurance,159,53,14.0,1334.0,Very High,16,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000023,Swimming Elite Athlete 23,37,M,Swimming,Endurance,187,86,7.7,1935.0,Very High,16,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000024,Cricket Fitness Enthusiast 24,20,F,Cricket,Skill,158,65,17.8,1475.0,Moderate,4,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000025,NFL Fitness Enthusiast 25,36,M,NFL,Team Sport,183,92,9.4,2004.0,Moderate,1,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000026,NBA Elite Athlete 26,25,F,NBA,Team Sport,177,117,17.9,1985.0,Very High,18,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000027,NFL Casual User 27,27,M,NFL,Team Sport,192,148,11.5,2880.0,Moderate,2,Club,casual_user,"[""general_health""]",0.45,2022-01-01
ATH000028,Cycling Amateur Athlete 28,23,F,Cycling,Endurance,158,53,13.7,1347.0,High,3,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000029,Swimming Weight Loss 29,39,M,Swimming,Endurance,200,86,16.6,1986.0,High,1,Club,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000030,Swimming Fitness Enthusiast 30,19,M,Swimming,Endurance,173,64,10.7,1684.0,High,1,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000031,Soccer Professional 31,35,M,Soccer,Endurance,173,78,6.3,1768.0,Very High,15,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000032,NBA Amateur Athlete 32,29,M,NBA,Team Sport,208,139,11.6,2823.0,High,8,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000033,Cycling Professional 33,33,M,Cycling,Endurance,171,70,5.5,1662.0,Very High,13,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000034,Tennis Fitness Enthusiast 34,39,F,Tennis,Power,160,59,19.6,1333.0,High,6,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000035,Boxing Fitness Enthusiast 35,30,M,Boxing,Power,188,61,7.8,1643.0,High,1,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000036,NFL Fitness Enthusiast 36,36,F,NFL,Team Sport,172,114,25.2,1895.0,Moderate,1,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000037,Cricket Elite Athlete 37,26,F,Cricket,Skill,156,76,16.9,1549.0,Very High,18,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000038,Cricket Fitness Enthusiast 38,31,M,Cricket,Skill,179,86,9.9,1935.0,Moderate,2,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000039,Boxing Fitness Enthusiast 39,23,F,Boxing,Power,165,46,15.1,1293.0,High,5,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000040,Cycling Amateur Athlete 40,38,F,Cycling,Endurance,167,64,16.7,1398.0,High,8,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000041,Tennis Amateur Athlete 41,40,F,Tennis,Power,153,61,17.3,1334.0,Very High,7,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000042,Cricket Amateur Athlete 42,33,M,Cricket,Skill,184,71,12.2,1741.0,Very High,10,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000043,Cycling Professional 43,21,F,Cycling,Endurance,170,60,16.3,1445.0,Very High,18,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000044,Boxing Fitness Enthusiast 44,34,M,Boxing,Power,167,67,11.2,1594.0,Moderate,6,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000045,Cricket Amateur Athlete 45,21,F,Cricket,Skill,160,60,16.6,1427.0,Very High,8,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000046,NFL Professional 46,27,F,NFL,Team Sport,189,129,17.7,2112.0,Very High,9,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000047,Boxing Fitness Enthusiast 47,26,F,Boxing,Power,168,74,15.5,1552.0,High,5,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000048,NFL Elite Athlete 48,24,F,NFL,Team Sport,176,87,17.1,1700.0,Very High,15,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000049,Boxing Fitness Enthusiast 49,25,M,Boxing,Power,190,58,11.9,1646.0,Moderate,4,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000050,NFL Elite Athlete 50,18,F,NFL,Team Sport,177,77,21.6,1635.0,Very High,16,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000051,Cricket Fitness Enthusiast 51,25,F,Cricket,Skill,161,73,20.5,1534.0,High,1,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000052,Soccer Amateur Athlete 52,39,M,Soccer,Endurance,177,68,10.9,1624.0,Very High,10,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000053,Cricket Amateur Athlete 53,27,M,Cricket,Skill,180,80,11.3,1885.0,High,5,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000054,Cycling Amateur Athlete 54,39,F,Cycling,Endurance,168,60,14.0,1357.0,High,3,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000055,Boxing Weight Loss 55,29,M,Boxing,Power,189,86,23.0,1999.0,Moderate,2,Recreational,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000056,NFL Elite Athlete 56,34,F,NFL,Team Sport,175,116,20.0,1929.0,Very High,11,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000057,Boxing Elite Athlete 57,37,F,Boxing,Power,172,74,19.2,1508.0,Very High,11,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000058,Swimming Professional 58,34,M,Swimming,Endurance,191,89,6.4,2016.0,Very High,15,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000059,NBA Fitness Enthusiast 59,28,M,NBA,Team Sport,199,98,11.0,2221.0,High,6,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000060,Tennis Casual User 60,32,F,Tennis,Power,172,51,16.8,1311.0,High,1,Recreational,casual_user,"[""general_health""]",0.45,2022-01-01
ATH000061,Swimming Amateur Athlete 61,25,M,Swimming,Endurance,172,81,8.7,1872.0,Very High,3,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000062,Cricket Fitness Enthusiast 62,39,F,Cricket,Skill,171,56,17.4,1325.0,High,3,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000063,Tennis Weight Gain 63,19,F,Tennis,Power,170,57,12.0,1426.0,High,6,Club,weight_gain,"[""weight_gain"", ""muscle_gain""]",0.7,2022-01-01
ATH000064,Swimming Elite Athlete 64,35,M,Swimming,Endurance,189,69,10.4,1725.0,Very High,17,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000065,Cycling Elite Athlete 65,34,M,Cycling,Endurance,185,75,6.1,1794.0,Very High,9,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000066,Cricket Elite Athlete 66,23,M,Cricket,Skill,183,77,13.6,1886.0,Very High,10,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000067,Cricket Weight Gain 67,19,F,Cricket,Skill,164,63,15.5,1472.0,High,6,Club,weight_gain,"[""weight_gain"", ""muscle_gain""]",0.7,2022-01-01
ATH000068,Cycling Amateur Athlete 68,37,M,Cycling,Endurance,179,78,5.3,1785.0,Very High,6,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000069,Tennis Fitness Enthusiast 69,23,F,Tennis,Power,163,51,12.7,1337.0,Moderate,5,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000070,Tennis Amateur Athlete 70,23,M,Tennis,Power,173,70,8.9,1739.0,Very High,9,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000071,Swimming Weight Gain 71,27,M,Swimming,Endurance,176,74,2.6,1782.0,Moderate,2,Club,weight_gain,"[""weight_gain"", ""muscle_gain""]",0.7,2022-01-01
ATH000072,Cricket Amateur Athlete 72,31,F,Cricket,Skill,169,71,16.6,1502.0,High,7,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000073,Cricket Professional 73,27,M,Cricket,Skill,171,80,10.2,1840.0,Very High,10,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000074,Soccer Elite Athlete 74,36,F,Soccer,Endurance,168,60,13.0,1371.0,Very High,17,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000075,Swimming Amateur Athlete 75,26,M,Swimming,Endurance,200,88,10.9,2102.0,Very High,6,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000076,Cricket Amateur Athlete 76,28,F,Cricket,Skill,159,75,18.0,1536.0,High,8,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000077,NBA Weight Loss 77,35,F,NBA,Team Sport,180,108,26.7,1857.0,High,6,Club,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000078,Cricket Weight Loss 78,38,M,Cricket,Skill,178,87,19.6,1897.0,Moderate,2,Club,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000079,Boxing Amateur Athlete 79,40,F,Boxing,Power,165,73,15.2,1471.0,High,3,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000080,NFL Amateur Athlete 80,33,F,NFL,Team Sport,164,90,17.4,1665.0,Very High,4,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000081,Cycling Fitness Enthusiast 81,19,F,Cycling,Endurance,161,61,15.2,1447.0,High,5,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000082,Cricket Fitness Enthusiast 82,33,F,Cricket,Skill,168,55,20.1,1338.0,Moderate,6,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000083,Swimming Weight Gain 83,26,F,Swimming,Endurance,172,59,8.6,1416.0,High,5,Club,weight_gain,"[""weight_gain"", ""muscle_gain""]",0.7,2022-01-01
ATH000084,NFL Professional 84,35,M,NFL,Team Sport,203,126,17.6,2578.0,Very High,10,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000085,Cricket Elite Athlete 85,34,F,Cricket,Skill,167,66,17.0,1436.0,Very High,15,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000086,Swimming Amateur Athlete 86,29,M,Swimming,Endurance,195,74,6.4,1864.0,Very High,8,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000087,Soccer Amateur Athlete 87,33,M,Soccer,Endurance,184,61,6.4,1603.0,High,6,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000088,Tennis Elite Athlete 88,33,M,Tennis,Power,176,65,13.3,1618.0,Very High,10,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000089,Soccer Weight Loss 89,18,F,Soccer,Endurance,165,82,29.9,1660.0,Moderate,1,Club,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000090,Cycling Amateur Athlete 90,28,M,Cycling,Endurance,179,78,5.2,1846.0,High,6,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000091,Cycling Elite Athlete 91,24,F,Cycling,Endurance,160,60,13.6,1413.0,Very High,9,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000092,Soccer Weight Loss 92,33,M,Soccer,Endurance,170,109,20.1,2193.0,Moderate,2,Club,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000093,NFL Weight Gain 93,28,M,NFL,Team Sport,176,130,8.9,2546.0,Moderate,5,Club,weight_gain,"[""weight_gain"", ""muscle_gain""]",0.7,2022-01-01
ATH000094,Soccer Amateur Athlete 94,37,M,Soccer,Endurance,176,65,6.5,1591.0,High,6,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000095,NBA Fitness Enthusiast 95,18,M,NBA,Team Sport,185,115,7.1,2452.0,Moderate,5,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000096,Boxing Professional 96,24,F,Boxing,Power,167,72,15.1,1540.0,Very High,10,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000097,NFL Professional 97,37,M,NFL,Team Sport,203,157,11.1,2991.0,Very High,8,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000098,Swimming Elite Athlete 98,23,M,Swimming,Endurance,195,84,7.9,2042.0,Very High,15,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000099,Swimming Casual User 99,28,M,Swimming,Endurance,196,85,8.8,2027.0,Moderate,3,Recreational,casual_user,"[""general_health""]",0.45,2022-01-01
ATH000100,Swimming Elite Athlete 100,39,M,Swimming,Endurance,172,76,6.9,1709.0,Very High,17,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000101,Boxing Elite Athlete 101,39,F,Boxing,Power,168,73,18.4,1482.0,Very High,10,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000102,NFL Professional 102,25,F,NFL,Team Sport,175,95,22.8,1770.0,Very High,12,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000103,Cricket Amateur Athlete 103,25,M,Cricket,Skill,188,68,13.6,1773.0,High,6,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000104,Cricket Professional 104,37,M,Cricket,Skill,188,82,15.2,1885.0,Very High,14,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000105,Cricket Weight Loss 105,31,M,Cricket,Skill,175,93,24.5,2012.0,Moderate,4,Club,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000106,Cricket Weight Loss 106,39,M,Cricket,Skill,173,101,25.4,2058.0,Moderate,1,Recreational,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000107,NFL Professional 107,40,M,NFL,Team Sport,196,126,17.6,2510.0,Very High,10,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000108,Boxing Elite Athlete 108,28,M,Boxing,Power,187,72,11.5,1803.0,Very High,10,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000109,Soccer Fitness Enthusiast 109,32,F,Soccer,Endurance,165,58,17.5,1365.0,Moderate,2,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000110,Cricket Weight Gain 110,23,M,Cricket,Skill,189,58,10.2,1654.0,Moderate,4,Club,weight_gain,"[""weight_gain"", ""muscle_gain""]",0.7,2022-01-01
ATH000111,NFL Elite Athlete 111,25,F,NFL,Team Sport,188,123,21.1,2062.0,Very High,16,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000112,Cycling Elite Athlete 112,29,M,Cycling,Endurance,173,72,7.3,1726.0,Very High,11,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000113,Tennis Fitness Enthusiast 113,39,F,Tennis,Power,157,62,16.4,1356.0,High,5,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000114,Cricket Amateur Athlete 114,19,M,Cricket,Skill,175,88,13.9,2024.0,Very High,8,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000115,NBA Professional 115,38,F,NBA,Team Sport,175,104,17.7,1796.0,Very High,12,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000116,Boxing Amateur Athlete 116,25,F,Boxing,Power,167,54,17.8,1364.0,Very High,7,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000117,NFL Professional 117,23,F,NFL,Team Sport,175,131,16.2,2124.0,Very High,10,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000118,Tennis Elite Athlete 118,30,M,Tennis,Power,165,66,12.3,1597.0,Very High,11,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000119,Swimming Fitness Enthusiast 119,32,M,Swimming,Endurance,199,66,11.6,1754.0,High,4,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000120,NFL Elite Athlete 120,32,M,NFL,Team Sport,210,125,18.0,2620.0,Very High,17,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000121,Tennis Amateur Athlete 121,23,F,Tennis,Power,151,46,19.9,1267.0,High,7,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000122,Cricket Fitness Enthusiast 122,30,F,Cricket,Skill,157,62,21.1,1398.0,Moderate,5,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000123,NBA Professional 123,21,F,NBA,Team Sport,198,106,14.1,1937.0,Very High,18,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000124,Cricket Weight Gain 124,24,F,Cricket,Skill,161,52,20.4,1338.0,Moderate,5,Recreational,weight_gain,"[""weight_gain"", ""muscle_gain""]",0.7,2022-01-01
ATH000125,NFL Amateur Athlete 125,33,M,NFL,Team Sport,197,86,8.4,2012.0,High,5,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000126,NFL Professional 126,25,M,NFL,Team Sport,184,86,8.2,2001.0,Very High,18,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000127,NFL Weight Loss 127,21,M,NFL,Team Sport,182,139,25.6,2747.0,Moderate,4,Recreational,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000128,Soccer Professional 128,29,F,Soccer,Endurance,160,54,12.9,1332.0,Very High,10,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000129,Swimming Professional 129,38,M,Swimming,Endurance,175,82,7.3,1813.0,Very High,17,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000130,Boxing Elite Athlete 130,30,M,Boxing,Power,166,87,7.5,1891.0,Very High,14,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000131,Cricket Casual User 131,32,F,Cricket,Skill,170,70,17.5,1489.0,Moderate,2,Recreational,casual_user,"[""general_health""]",0.45,2022-01-01
ATH000132,Tennis Weight Loss 132,22,M,Tennis,Power,173,82,20.8,1911.0,Moderate,6,Recreational,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000133,NFL Amateur Athlete 133,19,F,NFL,Team Sport,187,107,22.0,1935.0,High,5,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000134,Tennis Amateur Athlete 134,29,F,Tennis,Power,158,68,14.2,1462.0,High,7,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000135,Swimming Professional 135,34,M,Swimming,Endurance,188,84,11.9,1933.0,Very High,17,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000136,Swimming Amateur Athlete 136,33,M,Swimming,Endurance,183,90,7.9,1997.0,High,5,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000137,Cycling Elite Athlete 137,33,M,Cycling,Endurance,180,78,9.1,1817.0,Very High,17,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000138,NFL Weight Loss 138,21,F,NFL,Team Sport,172,138,27.3,2195.0,Moderate,2,Club,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000139,Swimming Professional 139,20,M,Swimming,Endurance,192,90,10.8,2130.0,Very High,8,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000140,Cycling Weight Loss 140,23,M,Cycling,Endurance,175,98,19.3,2134.0,High,2,Recreational,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000141,NFL Professional 141,28,F,NFL,Team Sport,171,121,20.7,1998.0,Very High,9,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000142,Cycling Elite Athlete 142,34,M,Cycling,Endurance,174,80,7.3,1808.0,Very High,14,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000143,NBA Professional 143,19,M,NBA,Team Sport,209,101,14.4,2373.0,Very High,16,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000144,NBA Weight Gain 144,35,F,NBA,Team Sport,171,81,12.2,1582.0,Moderate,2,Recreational,weight_gain,"[""weight_gain"", ""muscle_gain""]",0.7,2022-01-01
ATH000145,Swimming Weight Gain 145,32,F,Swimming,Endurance,156,55,10.7,1320.0,Moderate,2,Recreational,weight_gain,"[""weight_gain"", ""muscle_gain""]",0.7,2022-01-01
ATH000146,Soccer Amateur Athlete 146,31,M,Soccer,Endurance,182,75,7.7,1799.0,Very High,6,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
