performance_id,athlete_id,assessment_date,performance_score,improvement_percentage,nutrition_adherence,recovery_score_avg,sleep_hours_avg,user_scenario,sport_league
PERF00000025,ATH000005,2024-10-30,80.1,-1.06,0.71,72.1,7.8,amateur_athlete,Tennis
PERF00000026,ATH000006,2022-01-09,99.5,-1.89,1.0,75.0,8.8,professional,Boxing
PERF00000027,ATH000006,2022-10-23,74.6,-24.91,0.29,73.1,8.2,professional,Boxing
PERF00000028,ATH000006,2023-06-01,87.3,12.69,0.71,74.3,8.1,professional,Boxing
PERF00000029,ATH000006,2024-07-30,94.4,7.11,1.0,71.9,8.0,professional,Boxing
PERF00000030,ATH000006,2024-11-20,94.9,0.51,1.0,74.7,7.9,professional,Boxing
PERF00000031,ATH000007,2022-01-01,49.0,3.79,0.0,70.0,7.0,fitness_enthusiast,Tennis
PERF00000032,ATH000007,2022-08-27,68.2,19.21,0.43,68.6,8.4,fitness_enthusiast,Tennis
PERF00000033,ATH000007,2022-12-23,66.3,-1.91,0.43,67.9,8.0,fitness_enthusiast,Tennis
PERF00000034,ATH000007,2024-03-29,66.9,0.6,0.43,73.0,7.8,fitness_enthusiast,Tennis
PERF00000035,ATH000007,2024-10-12,67.4,0.51,0.43,71.9,8.0,fitness_enthusiast,Tennis
PERF00000036,ATH000008,2022-02-11,51.3,-0.25,0.0,71.0,8.4,casual_user,Tennis
PERF00000037,ATH000008,2022-10-08,69.5,18.17,0.71,70.1,7.8,casual_user,Tennis
PERF00000038,ATH000008,2023-06-04,70.8,1.26,0.71,70.9,8.0,casual_user,Tennis
PERF00000039,ATH000008,2024-03-31,71.6,0.79,0.71,70.3,8.2,casual_user,Tennis
PERF00000040,ATH000008,2024-11-16,79.8,8.2,1.0,70.3,8.1,casual_user,Tennis
PERF00000041,ATH000009,2022-02-17,89.3,2.21,1.0,70.0,8.1,weight_gain,NBA
PERF00000042,ATH000009,2022-08-20,79.0,-10.29,0.57,76.7,8.2,weight_gain,NBA
PERF00000043,ATH000009,2023-08-26,78.6,-0.44,0.57,77.6,8.0,weight_gain,NBA
PERF00000044,ATH000009,2024-06-05,79.1,0.47,0.57,77.9,8.1,weight_gain,NBA
PERF00000045,ATH000009,2024-11-07,80.5,1.4,0.57,79.3,8.3,weight_gain,NBA
PERF00000046,ATH000010,2022-04-26,90.7,0.87,1.0,74.0,8.1,amateur_athlete,NFL
PERF00000047,ATH000010,2023-04-07,91.5,0.84,1.0,73.0,8.3,amateur_athlete,NFL
PERF00000048,ATH000010,2023-11-12,91.7,0.17,1.0,76.3,8.2,amateur_athlete,NFL
PERF00000049,ATH000010,2024-07-08,90.9,-0.81,1.0,73.4,8.2,amateur_athlete,NFL
PERF00000050,ATH000010,2024-12-05,92.5,1.64,1.0,74.4,8.4,amateur_athlete,NFL
PERF00000051,ATH000011,2022-03-23,100.0,1.0,1.0,73.5,8.4,elite_athlete,Soccer
PERF00000052,ATH000011,2023-02-02,100.0,0.0,1.0,73.3,8.1,elite_athlete,Soccer
PERF00000053,ATH000011,2023-10-17,99.6,-0.37,1.0,69.7,8.1,elite_athlete,Soccer
PERF00000054,ATH000011,2024-03-21,98.2,-1.4,1.0,69.7,7.9,elite_athlete,Soccer
PERF00000055,ATH000011,2024-10-04,98.8,0.57,1.0,70.4,7.9,elite_athlete,Soccer
PERF00000056,ATH000012,2022-04-10,87.8,-0.11,1.0,71.0,7.7,weight_loss,Swimming
PERF00000057,ATH000012,2022-12-30,68.1,-19.67,0.29,70.4,8.1,weight_loss,Swimming
PERF00000058,ATH000012,2023-08-28,62.5,-5.64,0.14,70.6,7.8,weight_loss,Swimming
PERF00000059,ATH000012,2024-07-12,63.0,0.5,0.14,73.6,7.7,weight_loss,Swimming
PERF00000060,ATH000012,2024-11-30,64.1,1.14,0.14,72.1,8.0,weight_loss,Swimming
PERF00000061,ATH000013,2022-01-08,89.5,0.79,1.0,85.0,7.2,amateur_athlete,Cricket
PERF00000062,ATH000013,2022-09-17,85.8,-3.73,0.86,75.4,7.9,amateur_athlete,Cricket
PERF00000063,ATH000013,2023-12-24,89.4,3.56,1.0,72.9,7.9,amateur_athlete,Cricket
PERF00000064,ATH000013,2024-06-05,92.0,2.56,1.0,76.3,8.2,amateur_athlete,Cricket
PERF00000065,ATH000013,2024-12-12,90.7,-1.27,1.0,73.9,8.1,amateur_athlete,Cricket
PERF00000066,ATH000014,2022-02-07,97.9,-1.44,1.0,73.0,7.6,elite_athlete,Boxing
PERF00000067,ATH000014,2022-08-04,84.1,-13.83,0.57,67.1,7.8,elite_athlete,Boxing
PERF00000068,ATH000014,2023-07-25,93.9,9.83,0.86,70.7,7.8,elite_athlete,Boxing
PERF00000069,ATH000014,2024-03-22,97.0,3.07,1.0,69.4,7.6,elite_athlete,Boxing
PERF00000070,ATH000014,2024-12-30,97.9,0.91,1.0,70.4,7.8,elite_athlete,Boxing
PERF00000071,ATH000015,2022-01-05,81.4,3.55,1.0,63.0,7.9,fitness_enthusiast,NFL
PERF00000072,ATH000015,2023-01-13,85.2,3.76,1.0,71.7,8.1,fitness_enthusiast,NFL
PERF00000073,ATH000015,2023-08-27,85.2,0.01,1.0,72.9,8.1,fitness_enthusiast,NFL
PERF00000074,ATH000015,2023-12-21,86.6,1.39,1.0,76.7,8.1,fitness_enthusiast,NFL
PERF00000075,ATH000015,2024-07-13,86.6,0.04,1.0,78.6,8.0,fitness_enthusiast,NFL
PERF00000076,ATH000016,2022-02-09,87.5,0.72,1.0,75.0,8.4,fitness_enthusiast,Tennis
PERF00000077,ATH000016,2022-11-10,66.9,-20.6,0.43,70.9,8.0,fitness_enthusiast,Tennis
PERF00000078,ATH000016,2023-08-31,71.8,4.93,0.57,73.7,7.9,fitness_enthusiast,Tennis
PERF00000079,ATH000016,2024-03-29,72.2,0.36,0.57,73.9,8.0,fitness_enthusiast,Tennis
PERF00000080,ATH000016,2024-11-26,65.9,-6.33,0.43,71.0,7.7,fitness_enthusiast,Tennis
PERF00000081,ATH000017,2022-01-22,100.0,2.03,1.0,72.5,8.8,elite_athlete,Tennis
PERF00000082,ATH000017,2022-05-26,97.0,-3.03,0.86,74.4,8.2,elite_athlete,Tennis
PERF00000083,ATH000017,2023-09-06,99.2,2.24,1.0,69.9,8.1,elite_athlete,Tennis
PERF00000084,ATH000017,2024-02-10,99.0,-0.2,1.0,70.0,8.0,elite_athlete,Tennis
PERF00000085,ATH000017,2024-09-12,99.0,0.0,1.0,70.0,8.0,elite_athlete,Tennis
PERF00000086,ATH000018,2022-01-20,54.0,-0.36,0.0,70.0,7.0,weight_loss,Cycling
PERF00000087,ATH000018,2022-09-27,74.4,20.42,0.43,72.2,8.4,weight_loss,Cycling
PERF00000088,ATH000018,2023-01-15,77.3,2.87,0.57,69.7,8.2,weight_loss,Cycling
PERF00000089,ATH000018,2024-03-04,75.6,-1.66,0.57,70.0,7.9,weight_loss,Cycling
PERF00000090,ATH000018,2024-11-28,88.4,12.8,1.0,70.9,7.8,weight_loss,Cycling
PERF00000091,ATH000019,2022-01-25,100.0,4.12,1.0,72.0,8.5,elite_athlete,Tennis
PERF00000092,ATH000019,2022-08-29,100.0,0.0,1.0,73.7,8.0,elite_athlete,Tennis
PERF00000093,ATH000019,2023-04-10,99.3,-0.67,1.0,72.3,7.9,elite_athlete,Tennis
PERF00000094,ATH000019,2024-03-19,88.9,-10.39,0.71,69.0,7.8,elite_athlete,Tennis
PERF00000095,ATH000019,2024-11-06,96.7,7.84,1.0,66.3,7.8,elite_athlete,Tennis
PERF00000096,ATH000020,2022-01-01,89.0,1.64,1.0,70.0,7.0,professional,Boxing
PERF00000097,ATH000020,2022-07-06,93.6,4.64,1.0,68.6,8.0,professional,Boxing
PERF00000098,ATH000020,2023-02-16,93.2,-0.41,1.0,70.9,7.8,professional,Boxing
PERF00000099,ATH000020,2024-07-24,94.8,1.59,1.0,72.1,8.0,professional,Boxing
PERF00000100,ATH000020,2024-12-10,95.0,0.19,1.0,73.3,8.0,professional,Boxing
PERF00000101,ATH000021,2022-01-19,85.6,2.57,1.0,62.0,8.8,fitness_enthusiast,NBA
PERF00000102,ATH000021,2022-08-15,87.6,1.97,1.0,73.6,8.5,fitness_enthusiast,NBA
PERF00000103,ATH000021,2023-01-30,87.5,-0.11,1.0,74.0,8.5,fitness_enthusiast,NBA
PERF00000104,ATH000021,2023-12-03,84.7,-2.76,1.0,69.1,8.2,fitness_enthusiast,NBA
PERF00000105,ATH000021,2024-11-06,83.4,-1.27,1.0,70.7,7.8,fitness_enthusiast,NBA
PERF00000106,ATH000022,2022-02-11,100.0,-0.41,1.0,81.0,8.8,elite_athlete,Cycling
PERF00000107,ATH000022,2022-12-09,100.0,0.0,1.0,75.1,8.2,elite_athlete,Cycling
PERF00000108,ATH000022,2023-05-01,100.0,0.0,1.0,73.0,8.1,elite_athlete,Cycling
PERF00000109,ATH000022,2023-11-25,100.0,0.0,1.0,74.9,8.1,elite_athlete,Cycling
PERF00000110,ATH000022,2024-11-19,100.0,0.0,1.0,72.3,8.1,elite_athlete,Cycling
PERF00000111,ATH000023,2022-02-19,100.0,4.91,1.0,79.0,8.3,elite_athlete,Swimming
PERF00000112,ATH000023,2022-10-10,100.0,0.0,1.0,76.7,7.8,elite_athlete,Swimming
PERF00000113,ATH000023,2023-06-24,100.0,0.0,1.0,78.0,7.8,elite_athlete,Swimming
PERF00000114,ATH000023,2024-02-23,100.0,0.0,1.0,75.6,8.1,elite_athlete,Swimming
PERF00000115,ATH000023,2024-12-19,100.0,0.0,1.0,76.6,7.9,elite_athlete,Swimming
PERF00000116,ATH000024,2022-01-18,81.8,3.98,1.0,61.0,8.1,fitness_enthusiast,Cricket
PERF00000117,ATH000024,2022-10-07,62.3,-19.53,0.29,69.7,8.0,fitness_enthusiast,Cricket
PERF00000118,ATH000024,2023-07-17,79.6,17.27,0.86,75.7,7.6,fitness_enthusiast,Cricket
PERF00000119,ATH000024,2024-02-16,78.9,-0.66,0.86,75.3,7.5,fitness_enthusiast,Cricket
PERF00000120,ATH000024,2024-10-10,78.9,0.04,0.86,75.3,7.5,fitness_enthusiast,Cricket
PERF00000121,ATH000025,2022-01-28,87.4,4.04,1.0,83.0,7.9,fitness_enthusiast,NFL
PERF00000122,ATH000025,2022-12-06,83.3,-4.07,1.0,73.7,7.6,fitness_enthusiast,NFL
PERF00000123,ATH000025,2023-10-20,82.3,-1.0,1.0,71.7,7.6,fitness_enthusiast,NFL
PERF00000124,ATH000025,2024-02-06,81.8,-0.46,1.0,72.6,7.4,fitness_enthusiast,NFL
PERF00000125,ATH000025,2024-10-02,82.6,0.83,1.0,73.3,7.5,fitness_enthusiast,NFL
PERF00000126,ATH000026,2022-02-28,100.0,1.04,1.0,76.0,8.7,elite_athlete,NBA
PERF00000127,ATH000026,2022-11-22,98.1,-1.94,1.0,71.1,7.7,elite_athlete,NBA
PERF00000128,ATH000026,2023-08-16,99.7,1.59,1.0,73.7,7.9,elite_athlete,NBA
PERF00000129,ATH000026,2024-03-30,100.0,0.3,1.0,74.9,8.3,elite_athlete,NBA
PERF00000130,ATH000027,2022-02-02,74.0,1.24,1.0,70.0,7.0,casual_user,NFL
PERF00000131,ATH000027,2022-06-29,75.9,1.93,0.86,74.3,8.0,casual_user,NFL
PERF00000132,ATH000027,2023-05-05,76.1,0.24,0.86,70.7,8.2,casual_user,NFL
PERF00000133,ATH000027,2024-04-11,80.3,4.2,1.0,71.7,8.2,casual_user,NFL
PERF00000134,ATH000027,2024-10-19,80.3,-0.0,1.0,71.7,8.2,casual_user,NFL
PERF00000135,ATH000028,2022-01-03,64.3,-0.89,0.0,81.0,8.4,amateur_athlete,Cycling
PERF00000136,ATH000028,2022-09-24,87.6,23.34,1.0,72.9,7.6,amateur_athlete,Cycling
PERF00000137,ATH000028,2023-10-25,88.6,1.04,1.0,72.1,7.8,amateur_athlete,Cycling
PERF00000138,ATH000028,2024-05-10,88.9,0.3,1.0,70.1,8.0,amateur_athlete,Cycling
PERF00000139,ATH000028,2024-10-14,88.4,-0.46,1.0,71.7,7.8,amateur_athlete,Cycling
PERF00000140,ATH000029,2022-01-02,54.0,-0.94,0.0,70.0,7.0,weight_loss,Swimming
PERF00000141,ATH000029,2022-08-20,83.8,29.79,0.86,72.9,7.6,weight_loss,Swimming
PERF00000142,ATH000029,2023-04-26,89.8,6.03,1.0,74.4,7.9,weight_loss,Swimming
PERF00000143,ATH000029,2024-01-02,85.3,-4.53,0.86,76.9,7.7,weight_loss,Swimming
PERF00000144,ATH000029,2024-07-03,86.2,0.93,0.86,78.1,7.8,weight_loss,Swimming
PERF00000145,ATH000030,2022-02-15,89.6,1.93,1.0,82.0,8.4,fitness_enthusiast,Swimming
PERF00000146,ATH000030,2022-08-26,82.1,-7.5,1.0,72.7,7.5,fitness_enthusiast,Swimming
PERF00000147,ATH000030,2022-11-26,68.0,-14.13,0.43,75.1,7.9,fitness_enthusiast,Swimming
PERF00000148,ATH000030,2023-11-18,71.7,3.73,0.57,71.7,8.0,fitness_enthusiast,Swimming
PERF00000149,ATH000030,2024-12-03,71.9,0.24,0.57,72.4,8.0,fitness_enthusiast,Swimming
PERF00000150,ATH000031,2022-05-14,95.5,-0.6,1.0,76.0,7.9,professional,Soccer
PERF00000151,ATH000031,2023-03-19,96.0,0.46,1.0,74.1,8.1,professional,Soccer
PERF00000152,ATH000031,2023-09-27,97.3,1.26,1.0,76.6,8.3,professional,Soccer
PERF00000153,ATH000031,2024-07-04,96.3,-0.96,1.0,74.0,8.2,professional,Soccer
PERF00000154,ATH000031,2024-11-26,94.0,-2.26,1.0,72.3,7.9,professional,Soccer
PERF00000155,ATH000032,2022-02-14,87.4,-1.46,1.0,67.0,7.8,amateur_athlete,NBA
PERF00000156,ATH000032,2022-11-17,68.7,-18.67,0.29,72.4,8.1,amateur_athlete,NBA
PERF00000157,ATH000032,2023-07-04,69.2,0.49,0.29,73.0,8.1,amateur_athlete,NBA
PERF00000158,ATH000032,2023-10-28,60.2,-9.0,0.0,76.1,7.9,amateur_athlete,NBA
PERF00000159,ATH000032,2024-10-12,79.8,19.56,0.57,79.4,8.2,amateur_athlete,NBA
PERF00000160,ATH000033,2022-01-06,89.5,0.98,1.0,60.0,7.7,professional,Cycling
PERF00000161,ATH000033,2022-09-17,96.0,6.51,1.0,68.9,8.5,professional,Cycling
PERF00000162,ATH000033,2023-05-18,96.7,0.71,1.0,70.7,8.5,professional,Cycling
PERF00000163,ATH000033,2024-03-10,93.9,-2.84,1.0,65.7,8.2,professional,Cycling
PERF00000164,ATH000033,2024-11-26,94.0,0.09,1.0,69.0,8.1,professional,Cycling
PERF00000165,ATH000034,2022-04-05,87.0,-1.42,1.0,79.2,8.0,fitness_enthusiast,Tennis
PERF00000166,ATH000034,2022-07-29,66.6,-20.44,0.43,72.6,7.8,fitness_enthusiast,Tennis
PERF00000167,ATH000034,2023-11-17,66.6,-0.04,0.43,69.7,8.0,fitness_enthusiast,Tennis
PERF00000168,ATH000034,2024-03-23,83.9,17.31,1.0,72.6,7.8,fitness_enthusiast,Tennis
PERF00000169,ATH000034,2024-12-18,84.9,1.01,1.0,74.0,7.9,fitness_enthusiast,Tennis
PERF00000170,ATH000035,2022-02-10,83.6,1.71,1.0,67.0,8.1,fitness_enthusiast,Boxing
PERF00000171,ATH000035,2022-08-14,83.8,0.23,1.0,72.3,7.8,fitness_enthusiast,Boxing
PERF00000172,ATH000035,2023-09-02,84.7,0.9,1.0,74.0,7.9,fitness_enthusiast,Boxing
PERF00000173,ATH000035,2023-12-03,84.0,-0.67,1.0,73.4,7.8,fitness_enthusiast,Boxing
PERF00000174,ATH000035,2024-10-28,82.3,-1.67,1.0,72.3,7.5,fitness_enthusiast,Boxing
PERF00000175,ATH000036,2022-01-18,84.8,0.98,1.0,72.5,8.0,fitness_enthusiast,NFL
PERF00000176,ATH000036,2023-01-01,85.5,0.66,1.0,76.3,7.9,fitness_enthusiast,NFL
PERF00000177,ATH000036,2023-08-02,86.2,0.7,1.0,79.7,7.9,fitness_enthusiast,NFL
PERF00000178,ATH000036,2024-05-10,68.9,-17.29,0.43,76.9,8.0,fitness_enthusiast,NFL
PERF00000179,ATH000036,2024-11-12,69.0,0.07,0.43,78.0,7.9,fitness_enthusiast,NFL
PERF00000180,ATH000037,2022-01-23,94.0,2.13,1.0,70.0,7.0,elite_athlete,Cricket
PERF00000181,ATH000037,2022-09-15,99.1,5.13,1.0,74.0,7.8,elite_athlete,Cricket
PERF00000182,ATH000037,2023-05-23,100.0,0.9,1.0,75.1,8.1,elite_athlete,Cricket
PERF00000183,ATH000037,2024-07-03,100.0,0.0,1.0,78.3,8.1,elite_athlete,Cricket
PERF00000184,ATH000037,2024-12-29,100.0,0.0,1.0,78.3,8.1,elite_athlete,Cricket
PERF00000185,ATH000038,2022-01-02,49.0,-0.31,0.0,70.0,7.0,fitness_enthusiast,Cricket
PERF00000186,ATH000038,2022-10-03,73.7,24.73,0.71,68.9,7.7,fitness_enthusiast,Cricket
PERF00000187,ATH000038,2023-09-18,76.9,3.24,0.71,73.1,8.1,fitness_enthusiast,Cricket
PERF00000188,ATH000038,2024-05-26,77.9,1.01,0.71,74.7,8.2,fitness_enthusiast,Cricket
PERF00000189,ATH000038,2024-10-21,85.9,7.99,1.0,76.3,8.0,fitness_enthusiast,Cricket
PERF00000190,ATH000039,2022-03-18,85.0,-0.49,1.0,73.5,8.0,fitness_enthusiast,Boxing
PERF00000191,ATH000039,2022-11-30,84.1,-0.93,1.0,70.7,8.0,fitness_enthusiast,Boxing
PERF00000192,ATH000039,2023-08-18,73.0,-11.14,0.57,74.1,8.1,fitness_enthusiast,Boxing
PERF00000193,ATH000039,2024-06-08,60.0,-13.03,0.14,75.9,8.0,fitness_enthusiast,Boxing
PERF00000194,ATH000039,2024-12-27,55.2,-4.81,0.0,75.1,7.9,fitness_enthusiast,Boxing
PERF00000195,ATH000040,2022-01-26,84.0,4.82,1.0,70.0,7.0,amateur_athlete,Cycling
PERF00000196,ATH000040,2022-07-18,89.0,5.01,1.0,66.7,8.2,amateur_athlete,Cycling
PERF00000197,ATH000040,2023-02-28,87.4,-1.57,1.0,67.1,7.9,amateur_athlete,Cycling
PERF00000198,ATH000040,2023-11-05,70.7,-16.7,0.43,67.6,7.9,amateur_athlete,Cycling
PERF00000199,ATH000040,2024-08-20,56.7,-13.96,0.0,65.6,7.8,amateur_athlete,Cycling
PERF00000200,ATH000041,2022-02-16,91.6,3.16,1.0,70.5,8.5,amateur_athlete,Tennis
PERF00000201,ATH000041,2022-12-28,76.3,-15.34,0.57,69.4,8.1,amateur_athlete,Tennis
PERF00000202,ATH000041,2023-09-30,90.5,14.23,1.0,71.3,8.2,amateur_athlete,Tennis
PERF00000203,ATH000041,2024-02-09,90.6,0.09,1.0,68.9,8.4,amateur_athlete,Tennis
PERF00000204,ATH000041,2024-11-06,90.6,-0.01,1.0,68.9,8.4,amateur_athlete,Tennis
PERF00000205,ATH000042,2022-01-22,85.7,1.64,1.0,74.0,7.1,amateur_athlete,Cricket
PERF00000206,ATH000042,2022-09-07,89.9,4.16,1.0,73.6,8.0,amateur_athlete,Cricket
PERF00000207,ATH000042,2023-08-08,88.5,-1.39,1.0,71.7,7.8,amateur_athlete,Cricket
PERF00000208,ATH000042,2024-05-17,91.0,2.51,1.0,74.6,8.1,amateur_athlete,Cricket
PERF00000209,ATH000042,2024-11-14,90.0,-1.01,1.0,74.7,7.9,amateur_athlete,Cricket
PERF00000210,ATH000043,2022-03-04,95.3,-1.32,1.0,76.0,7.9,professional,Cycling
PERF00000211,ATH000043,2022-10-30,96.1,0.77,1.0,75.7,8.1,professional,Cycling
PERF00000212,ATH000043,2023-05-16,81.1,-15.03,0.57,71.4,7.9,professional,Cycling
PERF00000213,ATH000043,2024-03-03,95.7,14.63,1.0,74.6,8.1,professional,Cycling
PERF00000214,ATH000043,2024-09-29,91.4,-4.33,0.86,76.0,8.0,professional,Cycling
PERF00000215,ATH000044,2022-01-27,87.2,1.48,1.0,64.0,9.0,fitness_enthusiast,Boxing
PERF00000216,ATH000044,2022-09-28,81.8,-5.37,1.0,68.0,7.7,fitness_enthusiast,Boxing
PERF00000217,ATH000044,2023-07-25,85.6,3.76,1.0,69.7,8.3,fitness_enthusiast,Boxing
PERF00000218,ATH000044,2024-01-19,84.6,-1.0,1.0,69.1,8.2,fitness_enthusiast,Boxing
PERF00000219,ATH000044,2024-12-26,67.1,-17.53,0.43,71.4,8.0,fitness_enthusiast,Boxing
PERF00000220,ATH000045,2022-01-03,90.1,-0.8,1.0,62.0,8.7,amateur_athlete,Cricket
PERF00000221,ATH000045,2022-07-13,90.7,0.56,1.0,72.4,8.2,amateur_athlete,Cricket
PERF00000222,ATH000045,2023-05-13,77.9,-12.79,0.57,72.6,8.2,amateur_athlete,Cricket
PERF00000223,ATH000045,2023-12-29,75.7,-2.24,0.57,68.1,8.0,amateur_athlete,Cricket
PERF00000224,ATH000045,2024-08-12,76.3,0.64,0.57,69.7,8.1,amateur_athlete,Cricket
PERF00000225,ATH000046,2022-01-19,96.3,3.13,1.0,76.0,8.1,professional,NFL
PERF00000226,ATH000046,2022-10-10,94.3,-2.04,1.0,71.6,8.0,professional,NFL
PERF00000227,ATH000046,2023-09-01,77.6,-16.67,0.43,72.6,8.0,professional,NFL
PERF00000228,ATH000046,2024-02-04,89.5,11.94,0.86,71.6,7.9,professional,NFL
PERF00000229,ATH000046,2024-11-22,88.4,-1.06,0.86,71.7,7.6,professional,NFL
PERF00000230,ATH000047,2022-01-20,49.0,-0.76,0.0,70.0,7.0,fitness_enthusiast,Boxing
PERF00000231,ATH000047,2022-11-20,81.9,32.94,0.86,73.9,8.2,fitness_enthusiast,Boxing
PERF00000232,ATH000047,2023-11-09,71.9,-9.96,0.57,73.9,7.9,fitness_enthusiast,Boxing
PERF00000233,ATH000047,2024-09-19,54.9,-17.01,0.0,72.7,8.0,fitness_enthusiast,Boxing
PERF00000234,ATH000048,2022-01-08,100.0,-0.73,1.0,78.0,8.6,elite_athlete,NFL
PERF00000235,ATH000048,2022-11-10,99.4,-0.64,1.0,70.0,8.1,elite_athlete,NFL
PERF00000236,ATH000048,2023-08-31,99.1,-0.26,1.0,68.6,8.1,elite_athlete,NFL
PERF00000237,ATH000048,2024-07-15,99.5,0.44,1.0,70.1,8.1,elite_athlete,NFL
PERF00000238,ATH000048,2024-12-26,99.9,0.41,1.0,68.3,8.3,elite_athlete,NFL
PERF00000239,ATH000049,2022-02-06,85.2,0.85,1.0,69.0,8.3,fitness_enthusiast,Boxing
PERF00000240,ATH000049,2022-10-05,85.8,0.56,1.0,75.1,8.0,fitness_enthusiast,Boxing
PERF00000241,ATH000049,2023-01-28,82.2,-3.59,0.86,76.4,8.1,fitness_enthusiast,Boxing
PERF00000242,ATH000049,2024-03-05,86.8,4.56,1.0,74.4,8.3,fitness_enthusiast,Boxing
PERF00000243,ATH000049,2024-12-23,86.8,-0.04,1.0,74.4,8.3,fitness_enthusiast,Boxing
PERF00000244,ATH000050,2022-04-12,95.2,2.79,1.0,66.7,7.4,elite_athlete,NFL
PERF00000245,ATH000050,2022-11-05,100.0,4.8,1.0,68.6,8.3,elite_athlete,NFL
PERF00000246,ATH000050,2023-08-10,93.0,-6.96,0.71,70.9,8.5,elite_athlete,NFL
PERF00000247,ATH000050,2024-01-20,91.7,-1.29,0.71,71.4,8.2,elite_athlete,NFL
PERF00000248,ATH000050,2024-08-10,91.5,-0.21,0.71,71.9,8.1,elite_athlete,NFL
PERF00000249,ATH000051,2022-01-03,84.9,-0.14,1.0,73.0,8.0,fitness_enthusiast,Cricket
PERF00000250,ATH000051,2022-04-19,80.5,-4.44,0.86,75.0,7.8,fitness_enthusiast,Cricket
PERF00000251,ATH000051,2023-02-24,83.5,2.97,1.0,73.0,7.7,fitness_enthusiast,Cricket
PERF00000252,ATH000051,2024-01-31,80.2,-3.3,0.86,69.7,8.1,fitness_enthusiast,Cricket
PERF00000253,ATH000051,2024-10-22,80.2,-0.0,0.86,69.7,8.1,fitness_enthusiast,Cricket
PERF00000254,ATH000052,2022-02-22,87.3,0.88,1.0,63.5,8.0,amateur_athlete,Soccer
PERF00000255,ATH000052,2022-11-11,88.6,1.31,1.0,73.7,7.7,amateur_athlete,Soccer
PERF00000256,ATH000052,2023-05-11,78.9,-9.7,0.57,77.3,8.1,amateur_athlete,Soccer
PERF00000257,ATH000052,2023-11-27,78.1,-0.81,0.57,75.3,8.1,amateur_athlete,Soccer
PERF00000258,ATH000052,2024-10-24,85.9,7.8,0.86,73.0,8.1,amateur_athlete,Soccer
PERF00000259,ATH000053,2022-01-19,91.7,3.81,1.0,79.0,8.0,amateur_athlete,Cricket
PERF00000260,ATH000053,2022-09-28,88.8,-2.86,1.0,72.6,7.8,amateur_athlete,Cricket
PERF00000261,ATH000053,2023-08-17,72.4,-16.36,0.43,73.1,7.9,amateur_athlete,Cricket
PERF00000262,ATH000053,2024-05-09,73.7,1.34,0.43,75.6,8.0,amateur_athlete,Cricket
PERF00000263,ATH000053,2024-11-29,71.4,-2.27,0.43,72.9,7.7,amateur_athlete,Cricket
