record_id,athlete_id,date,device_type,daily_steps,active_minutes,calories_burned_device,avg_heart_rate,max_heart_rate,resting_heart_rate,sleep_hours,sleep_quality_score,stress_score,recovery_score,is_training_day,user_scenario
WEAR00000027,ATH000001,2022-09-28,Whoop,13898,151,1612,141,154,59,7.3,95.0,32,64,True,professional
WEAR00000028,ATH000001,2024-08-15,Apple Watch,12477,256,4228,139,155,68,7.0,78.7,21,65,True,professional
WEAR00000029,ATH000001,2022-03-02,Whoop,10171,155,2369,138,154,48,7.4,71.3,28,79,True,professional
WEAR00000030,ATH000001,2024-08-26,Whoop,11525,177,1997,130,139,73,8.5,92.4,24,83,True,professional
WEAR00000031,ATH000001,2023-05-18,Garmin,11935,160,2354,138,158,66,8.5,76.9,55,67,True,professional
WEAR00000032,ATH000001,2024-01-12,Garmin,9382,176,3351,145,155,72,7.8,76.7,57,76,True,professional
WEAR00000033,ATH000001,2022-05-16,Apple Watch,13867,193,2879,139,155,69,8.7,90.8,20,78,True,professional
WEAR00000034,ATH000001,2024-07-18,Garmin,11143,168,1970,143,155,67,7.9,72.1,37,77,True,professional
WEAR00000035,ATH000001,2022-04-18,Apple Watch,13569,137,2583,148,154,71,9.0,71.9,41,72,True,professional
WEAR00000036,ATH000001,2024-02-16,Fitbit,14203,155,2240,140,158,54,7.2,83.2,42,83,True,professional
WEAR00000037,ATH000001,2024-09-06,Apple Watch,8630,186,2865,138,161,53,8.8,74.8,32,75,True,professional
WEAR00000038,ATH000001,2023-08-30,Garmin,11809,286,4980,149,157,47,8.3,74.7,38,67,True,professional
WEAR00000039,ATH000001,2024-08-25,Apple Watch,14177,192,4197,162,174,56,7.8,76.7,37,67,True,professional
WEAR00000040,ATH000001,2023-03-19,Apple Watch,10074,195,1639,124,142,68,7.8,79.5,46,61,True,professional
WEAR00000041,ATH000002,2024-08-21,Apple Watch,13799,208,3033,142,169,57,8.0,89.6,55,80,True,amateur_athlete
WEAR00000042,ATH000002,2024-03-24,Garmin,10118,138,1764,141,162,67,8.3,91.3,49,73,True,amateur_athlete
WEAR00000043,ATH000002,2024-03-16,Whoop,14060,151,1295,144,165,58,8.5,71.5,52,61,True,amateur_athlete
WEAR00000044,ATH000002,2024-07-24,Apple Watch,11961,256,4391,168,182,55,7.1,74.3,59,77,True,amateur_athlete
WEAR00000045,ATH000002,2023-12-01,Whoop,13381,180,1925,126,142,50,8.1,88.8,42,71,True,amateur_athlete
WEAR00000046,ATH000002,2022-05-06,Fitbit,13049,210,3424,176,180,69,8.1,76.5,55,68,True,amateur_athlete
WEAR00000047,ATH000002,2024-09-09,Apple Watch,8595,102,1370,149,161,45,7.2,74.1,52,83,True,amateur_athlete
WEAR00000048,ATH000002,2023-11-05,Fitbit,11859,148,1727,159,163,55,7.3,77.4,29,69,True,amateur_athlete
WEAR00000049,ATH000002,2024-11-14,Whoop,14095,163,1495,138,145,65,8.8,86.3,53,67,True,amateur_athlete
WEAR00000050,ATH000002,2023-03-11,Whoop,13178,162,2135,146,168,54,7.8,88.3,52,60,True,amateur_athlete
WEAR00000051,ATH000002,2023-01-10,Garmin,9994,157,2320,152,168,49,7.3,81.6,31,64,True,amateur_athlete
WEAR00000052,ATH000002,2022-04-16,Garmin,13643,161,1952,123,146,72,8.2,80.3,42,80,True,amateur_athlete
WEAR00000053,ATH000002,2023-07-12,Garmin,11354,120,1561,149,166,57,7.1,85.6,48,84,True,amateur_athlete
WEAR00000054,ATH000002,2024-05-13,Apple Watch,14399,162,1449,125,149,49,7.9,94.6,35,71,True,amateur_athlete
WEAR00000055,ATH000002,2024-01-15,Whoop,14456,232,3556,161,182,49,8.7,94.3,46,69,True,amateur_athlete
WEAR00000056,ATH000002,2024-06-23,Fitbit,12345,170,1811,155,166,61,7.9,72.9,44,76,True,amateur_athlete
WEAR00000057,ATH000002,2024-05-17,Fitbit,12540,139,1330,123,142,71,8.9,81.0,46,61,True,amateur_athlete
WEAR00000058,ATH000002,2023-08-09,Whoop,10608,177,2163,150,164,68,7.5,80.6,33,78,True,amateur_athlete
WEAR00000059,ATH000002,2023-06-13,Garmin,9534,165,3062,148,160,68,8.0,75.8,51,71,True,amateur_athlete
WEAR00000060,ATH000002,2022-10-26,Garmin,11326,184,1801,133,142,64,8.4,84.3,26,76,True,amateur_athlete
WEAR00000061,ATH000002,2022-04-03,Fitbit,11022,182,1686,129,143,53,8.3,92.4,42,83,True,amateur_athlete
WEAR00000062,ATH000002,2024-10-09,Whoop,14815,140,1850,142,166,68,8.6,83.1,54,66,True,amateur_athlete
WEAR00000063,ATH000002,2024-05-18,Whoop,14693,162,1824,143,164,60,7.2,93.5,45,64,True,amateur_athlete
WEAR00000064,ATH000002,2024-02-29,Apple Watch,10240,175,2285,141,160,56,8.0,79.3,42,73,True,amateur_athlete
WEAR00000065,ATH000002,2022-02-10,Fitbit,11569,217,3779,175,179,61,8.4,94.9,57,72,True,amateur_athlete
WEAR00000066,ATH000002,2024-07-27,Whoop,11768,154,1939,139,143,55,8.8,88.7,40,77,True,amateur_athlete
WEAR00000067,ATH000002,2024-03-07,Apple Watch,11648,183,3529,169,183,69,8.9,78.2,28,66,True,amateur_athlete
WEAR00000068,ATH000002,2023-09-09,Apple Watch,12711,204,1726,132,147,57,7.9,93.1,49,64,True,amateur_athlete
WEAR00000069,ATH000002,2023-04-06,Apple Watch,11076,187,1908,128,149,51,8.6,77.8,42,70,True,amateur_athlete
WEAR00000070,ATH000002,2022-05-14,Whoop,13064,170,1349,138,146,70,7.9,74.1,29,78,True,amateur_athlete
WEAR00000071,ATH000002,2024-06-22,Apple Watch,8857,158,1908,152,167,71,7.7,91.7,24,77,True,amateur_athlete
WEAR00000072,ATH000002,2023-08-12,Garmin,13745,154,2087,149,168,72,7.4,76.4,49,61,True,amateur_athlete
WEAR00000073,ATH000002,2022-09-24,Fitbit,10814,155,2922,155,165,74,7.2,85.0,43,60,True,amateur_athlete
WEAR00000074,ATH000002,2024-07-06,Fitbit,10668,162,1733,151,160,56,7.3,71.0,26,80,True,amateur_athlete
WEAR00000075,ATH000002,2024-03-25,Garmin,13945,215,4058,160,181,75,7.5,86.6,56,68,True,amateur_athlete
WEAR00000076,ATH000002,2024-11-29,Fitbit,12377,201,2323,145,161,46,7.2,76.2,26,85,True,amateur_athlete
WEAR00000077,ATH000002,2024-04-19,Garmin,14892,169,1636,125,147,45,8.7,86.9,26,73,True,amateur_athlete
WEAR00000078,ATH000002,2024-10-11,Apple Watch,11760,144,2309,145,165,51,7.9,73.0,51,71,True,amateur_athlete
WEAR00000079,ATH000002,2023-12-07,Garmin,14184,121,1689,122,144,65,7.0,87.5,25,78,True,amateur_athlete
WEAR00000080,ATH000002,2024-04-15,Apple Watch,9675,152,2429,154,161,60,7.8,71.7,20,84,True,amateur_athlete
WEAR00000081,ATH000003,2024-02-27,Whoop,10894,139,2474,147,160,75,8.6,72.7,50,62,True,professional
WEAR00000082,ATH000003,2022-05-23,Garmin,8189,252,7367,159,175,72,7.6,76.9,29,71,True,professional
WEAR00000083,ATH000003,2022-04-22,Whoop,9882,161,3446,152,162,56,7.2,70.9,20,72,True,professional
WEAR00000084,ATH000003,2022-10-29,Whoop,13727,112,2636,153,158,49,7.6,83.9,30,80,True,professional
WEAR00000085,ATH000003,2024-12-29,Whoop,13816,163,2590,149,159,64,8.3,74.9,52,61,True,professional
WEAR00000086,ATH000003,2024-03-27,Garmin,8646,188,2247,133,146,53,8.7,89.3,31,81,True,professional
WEAR00000087,ATH000003,2022-03-11,Apple Watch,13256,186,4298,150,160,61,8.5,94.3,49,66,True,professional
WEAR00000088,ATH000003,2023-07-12,Fitbit,8269,230,4393,144,159,69,8.3,80.9,54,62,True,professional
WEAR00000089,ATH000003,2022-06-13,Whoop,14109,163,2601,131,144,53,7.6,91.4,28,61,True,professional
WEAR00000090,ATH000003,2024-09-18,Fitbit,12191,247,6222,145,164,63,8.5,77.3,52,75,True,professional
WEAR00000091,ATH000003,2022-10-21,Whoop,13284,183,3491,153,161,69,8.3,80.0,27,70,True,professional
WEAR00000092,ATH000003,2024-02-06,Garmin,8662,190,3146,132,141,72,8.2,85.0,45,79,True,professional
WEAR00000093,ATH000003,2023-11-25,Fitbit,12136,132,2641,142,159,51,7.8,91.8,53,62,True,professional
WEAR00000094,ATH000003,2023-06-28,Garmin,14097,145,2781,139,161,67,7.6,86.2,50,79,True,professional
WEAR00000095,ATH000003,2023-12-31,Apple Watch,10185,210,4633,138,157,69,7.2,84.8,31,75,True,professional
WEAR00000096,ATH000003,2024-02-24,Garmin,10344,163,3450,154,158,63,8.4,89.7,24,84,True,professional
WEAR00000097,ATH000003,2022-09-17,Garmin,9306,175,3453,144,158,73,7.5,89.8,56,71,True,professional
WEAR00000098,ATH000003,2022-06-21,Apple Watch,12957,247,5983,161,178,68,7.3,87.1,44,83,True,professional
WEAR00000099,ATH000003,2023-04-04,Whoop,13993,285,6327,160,176,61,7.8,79.4,36,71,True,professional
WEAR00000100,ATH000003,2022-06-26,Apple Watch,9059,158,2208,131,145,67,7.9,88.7,35,79,True,professional
WEAR00000101,ATH000003,2023-08-05,Garmin,10329,201,3624,132,143,55,7.7,82.1,50,76,True,professional
WEAR00000102,ATH000003,2024-02-10,Garmin,12761,155,2800,141,160,50,8.1,83.7,48,84,True,professional
WEAR00000103,ATH000003,2022-02-17,Garmin,14629,170,3147,141,159,66,8.1,86.8,48,79,True,professional
WEAR00000104,ATH000003,2024-11-01,Apple Watch,11357,133,2110,128,144,46,8.4,77.3,44,66,True,professional
WEAR00000105,ATH000003,2022-02-04,Apple Watch,13897,181,3074,140,160,54,7.9,87.0,52,83,True,professional
WEAR00000106,ATH000003,2022-12-15,Whoop,10852,195,3883,150,161,56,7.6,93.9,36,83,True,professional
WEAR00000107,ATH000003,2023-07-13,Apple Watch,9638,167,2704,135,138,63,7.1,81.2,21,64,True,professional
WEAR00000108,ATH000003,2022-08-23,Apple Watch,10247,161,2456,147,155,58,7.2,94.8,43,66,True,professional
WEAR00000109,ATH000003,2022-08-18,Fitbit,14093,167,2761,145,160,74,8.5,79.0,31,65,True,professional
WEAR00000110,ATH000003,2023-10-11,Fitbit,14372,182,1938,133,145,49,8.6,89.5,23,81,True,professional
WEAR00000111,ATH000003,2022-05-07,Apple Watch,12200,174,2092,122,139,57,7.8,76.9,32,82,True,professional
WEAR00000112,ATH000003,2022-06-19,Fitbit,11899,185,2292,123,139,56,8.7,86.3,38,65,True,professional
WEAR00000113,ATH000003,2024-12-20,Garmin,10959,166,3447,142,158,71,9.0,94.6,24,76,True,professional
WEAR00000114,ATH000003,2023-03-16,Fitbit,11006,152,3952,154,162,70,7.5,91.1,43,80,True,professional
WEAR00000115,ATH000003,2024-06-09,Garmin,13273,284,8129,167,175,59,7.0,74.7,55,78,True,professional
WEAR00000116,ATH000003,2024-08-25,Apple Watch,12177,164,2503,146,162,50,8.4,93.3,35,81,True,professional
WEAR00000117,ATH000003,2022-08-05,Whoop,13516,181,3276,148,158,59,7.4,89.7,48,78,True,professional
WEAR00000118,ATH000003,2023-03-24,Garmin,11035,136,1838,128,141,56,8.2,70.9,34,79,True,professional
WEAR00000119,ATH000003,2024-09-17,Whoop,13646,209,3675,147,156,69,8.3,92.6,54,85,True,professional
WEAR00000120,ATH000003,2023-05-13,Garmin,8787,197,5700,168,174,72,7.5,80.0,46,70,True,professional
WEAR00000121,ATH000004,2023-09-20,Apple Watch,11274,143,2318,142,150,47,7.7,71.2,22,81,True,weight_loss
WEAR00000122,ATH000004,2024-04-30,Garmin,16934,119,1547,127,153,49,8.2,78.3,58,74,True,weight_loss
WEAR00000123,ATH000004,2024-05-22,Fitbit,15366,194,2748,126,144,69,7.1,94.8,43,65,True,weight_loss
WEAR00000124,ATH000004,2022-01-12,Apple Watch,13460,150,2848,153,169,57,8.8,75.8,49,79,True,weight_loss
WEAR00000125,ATH000004,2023-11-13,Whoop,15796,193,5797,175,183,62,7.5,90.7,34,68,True,weight_loss
WEAR00000126,ATH000004,2023-05-22,Whoop,12092,175,2709,150,164,70,8.0,82.3,60,76,True,weight_loss
WEAR00000127,ATH000004,2022-06-29,Fitbit,11808,116,1581,128,152,56,7.9,91.5,46,74,True,weight_loss
WEAR00000128,ATH000004,2023-01-19,Fitbit,14824,143,2420,158,169,59,7.0,76.4,52,83,True,weight_loss
WEAR00000129,ATH000004,2023-10-22,Fitbit,16728,166,2650,126,145,55,7.5,88.9,44,70,True,weight_loss
WEAR00000130,ATH000004,2024-09-18,Garmin,13794,135,2504,140,148,51,8.1,94.3,38,80,True,weight_loss
WEAR00000131,ATH000004,2023-05-31,Fitbit,10829,171,2149,143,149,65,8.8,94.1,39,83,True,weight_loss
WEAR00000132,ATH000004,2022-03-24,Apple Watch,18612,108,2047,162,166,73,7.4,75.2,52,77,True,weight_loss
WEAR00000133,ATH000004,2022-08-26,Fitbit,12457,159,2501,144,165,57,8.3,76.4,56,67,True,weight_loss
WEAR00000134,ATH000004,2024-01-03,Apple Watch,14050,139,2237,147,168,50,7.8,89.4,44,70,True,weight_loss
WEAR00000135,ATH000004,2024-07-26,Garmin,13007,127,1708,132,145,59,8.0,88.0,45,64,True,weight_loss
WEAR00000136,ATH000004,2022-09-12,Garmin,13846,129,1783,132,147,64,8.6,88.8,32,73,True,weight_loss
WEAR00000137,ATH000004,2023-03-21,Whoop,14675,141,3328,154,167,66,8.7,82.2,43,72,True,weight_loss
WEAR00000138,ATH000004,2023-02-15,Apple Watch,17623,168,3501,158,163,60,7.5,88.0,22,79,True,weight_loss
WEAR00000139,ATH000004,2023-02-24,Garmin,16107,158,1852,127,151,61,8.2,89.4,45,68,True,weight_loss
WEAR00000140,ATH000004,2024-10-29,Fitbit,12903,164,2000,129,144,68,8.1,78.5,25,62,True,weight_loss
WEAR00000141,ATH000004,2023-11-10,Whoop,11744,154,1613,126,150,46,7.7,86.5,60,65,True,weight_loss
WEAR00000142,ATH000004,2023-06-27,Garmin,15352,200,3570,179,186,75,8.2,89.7,37,63,True,weight_loss
WEAR00000143,ATH000004,2024-09-30,Garmin,15009,227,5252,158,172,63,8.0,82.9,47,77,True,weight_loss
WEAR00000144,ATH000004,2022-09-09,Garmin,17812,162,3466,155,168,67,7.2,83.5,49,80,True,weight_loss
WEAR00000145,ATH000004,2024-12-02,Fitbit,15037,111,1984,139,151,45,8.8,91.0,29,81,True,weight_loss
WEAR00000146,ATH000004,2022-04-13,Fitbit,16961,184,1894,133,151,61,7.4,78.0,46,77,True,weight_loss
WEAR00000147,ATH000004,2022-06-05,Whoop,16231,151,2215,130,151,56,7.9,88.4,45,73,True,weight_loss
WEAR00000148,ATH000004,2024-04-25,Apple Watch,10566,160,2467,152,168,48,8.8,80.5,50,68,True,weight_loss
WEAR00000149,ATH000004,2022-04-28,Whoop,12138,171,3683,153,171,63,7.4,86.2,22,70,True,weight_loss
WEAR00000150,ATH000004,2022-07-27,Garmin,18286,122,2627,150,170,48,7.5,87.5,48,83,True,weight_loss
WEAR00000151,ATH000004,2023-04-22,Fitbit,14511,155,1763,131,148,67,8.2,87.4,43,75,True,weight_loss
WEAR00000152,ATH000004,2024-02-04,Fitbit,11630,155,1976,149,168,74,8.1,92.8,24,79,True,weight_loss
WEAR00000153,ATH000004,2024-10-06,Whoop,13383,156,2123,144,169,70,7.2,73.6,41,77,True,weight_loss
WEAR00000154,ATH000004,2024-07-10,Apple Watch,17873,158,2262,155,168,61,7.3,93.0,50,73,True,weight_loss
WEAR00000155,ATH000004,2024-07-18,Fitbit,16813,170,2473,160,167,64,7.7,90.1,24,66,True,weight_loss
WEAR00000156,ATH000004,2023-04-16,Apple Watch,16382,259,4430,146,170,58,8.1,88.7,26,62,True,weight_loss
WEAR00000157,ATH000004,2022-11-16,Fitbit,17999,154,3078,145,165,69,9.0,77.4,54,64,True,weight_loss
WEAR00000158,ATH000004,2023-10-12,Whoop,11049,189,2467,130,144,66,8.0,77.2,33,65,True,weight_loss
WEAR00000159,ATH000004,2024-03-15,Apple Watch,12216,184,2869,133,152,59,8.5,82.0,20,80,True,weight_loss
WEAR00000160,ATH000004,2024-08-01,Whoop,14014,174,2399,124,144,53,7.1,75.2,26,74,True,weight_loss
WEAR00000161,ATH000005,2022-05-23,Apple Watch,8732,179,1262,139,144,59,7.5,92.9,20,77,True,amateur_athlete
WEAR00000162,ATH000005,2024-07-24,Fitbit,9463,229,2251,154,159,60,8.6,76.7,59,60,True,amateur_athlete
WEAR00000163,ATH000005,2023-02-12,Whoop,10827,188,1851,145,163,52,7.4,78.3,55,67,True,amateur_athlete
WEAR00000164,ATH000005,2023-04-03,Apple Watch,10159,147,1412,128,144,55,7.7,73.3,20,78,True,amateur_athlete
WEAR00000165,ATH000005,2023-01-18,Apple Watch,9962,179,2475,176,180,54,7.1,82.4,53,70,True,amateur_athlete
WEAR00000166,ATH000005,2022-06-28,Whoop,10707,238,2148,151,163,67,7.7,75.3,37,75,True,amateur_athlete
WEAR00000167,ATH000005,2023-05-29,Whoop,13006,129,1992,145,160,46,7.5,71.5,48,79,True,amateur_athlete
WEAR00000168,ATH000005,2022-04-10,Whoop,13379,177,1421,138,147,50,8.9,87.5,36,66,True,amateur_athlete
WEAR00000169,ATH000005,2022-07-20,Whoop,11601,144,1643,148,162,75,7.1,84.2,37,82,True,amateur_athlete
WEAR00000170,ATH000005,2022-09-27,Garmin,12013,214,2622,145,164,61,7.6,78.0,36,69,True,amateur_athlete
WEAR00000171,ATH000005,2022-01-03,Apple Watch,14241,160,1866,148,162,62,7.8,76.6,40,84,True,amateur_athlete
WEAR00000172,ATH000005,2022-03-30,Apple Watch,10815,164,2158,157,168,53,8.6,73.8,28,61,True,amateur_athlete
WEAR00000173,ATH000005,2024-09-18,Fitbit,10295,198,1404,136,146,75,8.8,87.5,26,67,True,amateur_athlete
WEAR00000174,ATH000005,2023-10-29,Whoop,11513,164,1855,147,162,55,8.3,80.3,55,67,True,amateur_athlete
WEAR00000175,ATH000005,2024-04-20,Whoop,8183,172,2520,166,180,71,8.8,82.0,21,61,True,amateur_athlete
WEAR00000176,ATH000005,2023-04-28,Whoop,8064,200,2859,146,167,66,7.1,71.6,58,60,True,amateur_athlete
WEAR00000177,ATH000005,2023-01-21,Fitbit,10009,140,2198,155,159,72,8.1,82.1,51,64,True,amateur_athlete
WEAR00000178,ATH000005,2024-09-08,Fitbit,11797,204,1721,131,146,52,8.0,92.0,20,64,True,amateur_athlete
WEAR00000179,ATH000005,2024-01-03,Garmin,12340,115,1105,135,148,65,7.8,78.2,28,85,True,amateur_athlete
WEAR00000180,ATH000005,2023-04-11,Garmin,11471,153,1385,133,142,61,8.0,82.3,54,66,True,amateur_athlete
WEAR00000181,ATH000005,2024-10-30,Garmin,12164,203,3014,175,179,73,7.6,92.8,23,70,True,amateur_athlete
WEAR00000182,ATH000005,2023-04-15,Garmin,12924,159,1350,133,142,51,8.6,74.7,36,69,True,amateur_athlete
WEAR00000183,ATH000005,2024-12-30,Garmin,13635,191,1929,150,160,66,8.2,89.7,41,83,True,amateur_athlete
WEAR00000184,ATH000005,2023-01-01,Whoop,12463,180,2209,150,159,68,7.1,78.2,30,82,True,amateur_athlete
WEAR00000185,ATH000005,2022-10-09,Garmin,14850,168,1262,138,144,51,8.7,94.6,39,81,True,amateur_athlete
WEAR00000186,ATH000005,2022-12-16,Apple Watch,9638,133,1310,121,148,64,8.6,91.4,46,79,True,amateur_athlete
WEAR00000187,ATH000005,2024-04-27,Fitbit,8495,123,1661,153,159,74,7.0,93.9,37,71,True,amateur_athlete
WEAR00000188,ATH000005,2024-11-01,Whoop,9921,192,2368,153,161,56,7.2,79.4,42,82,True,amateur_athlete
WEAR00000189,ATH000005,2024-09-12,Garmin,9434,113,1163,131,146,45,7.9,84.7,28,71,True,amateur_athlete
WEAR00000190,ATH000005,2023-09-22,Apple Watch,13798,232,2443,141,165,54,7.9,86.2,25,75,True,amateur_athlete
WEAR00000191,ATH000005,2023-04-07,Whoop,8332,167,1380,158,164,58,8.3,76.3,50,62,True,amateur_athlete
WEAR00000192,ATH000005,2023-08-07,Whoop,12294,120,1583,154,164,70,8.9,88.8,25,68,True,amateur_athlete
WEAR00000193,ATH000005,2024-10-18,Apple Watch,12805,138,1457,134,145,62,7.7,87.9,46,64,True,amateur_athlete
WEAR00000194,ATH000005,2023-11-11,Fitbit,11715,200,2682,146,160,73,8.3,84.1,42,67,True,amateur_athlete
WEAR00000195,ATH000005,2022-07-16,Fitbit,11788,159,2127,147,164,73,8.8,74.0,20,62,True,amateur_athlete
WEAR00000196,ATH000005,2023-09-03,Whoop,8494,171,1292,129,143,55,7.4,94.3,36,70,True,amateur_athlete
WEAR00000197,ATH000005,2023-02-19,Garmin,14110,132,1182,157,161,59,7.5,88.9,48,81,True,amateur_athlete
WEAR00000198,ATH000005,2022-08-05,Whoop,12034,185,1774,156,159,49,7.2,73.0,57,78,True,amateur_athlete
WEAR00000199,ATH000005,2024-11-19,Fitbit,11234,142,1261,147,165,74,7.4,78.6,29,63,True,amateur_athlete
WEAR00000200,ATH000005,2022-10-24,Garmin,9908,165,1980,157,164,68,7.8,89.8,60,83,True,amateur_athlete
WEAR00000201,ATH000006,2024-07-29,Apple Watch,13995,214,2398,170,180,72,8.2,71.8,29,79,True,professional
WEAR00000202,ATH000006,2022-12-10,Whoop,11182,180,2378,159,172,74,8.8,83.6,55,62,True,professional
WEAR00000203,ATH000006,2023-03-06,Whoop,11961,209,2424,160,173,71,8.7,72.9,30,85,True,professional
WEAR00000204,ATH000006,2024-11-20,Fitbit,14599,208,2998,174,196,70,7.6,81.4,32,68,True,professional
WEAR00000205,ATH000006,2023-01-18,Garmin,8784,139,1272,146,155,60,7.2,72.8,54,76,True,professional
WEAR00000206,ATH000006,2022-10-23,Garmin,8109,136,855,133,153,48,7.7,73.3,47,74,True,professional
WEAR00000207,ATH000006,2024-08-29,Whoop,8144,211,2511,179,193,47,7.9,88.7,52,75,True,professional
WEAR00000208,ATH000006,2023-11-19,Whoop,14390,199,1637,147,159,56,7.6,89.4,53,62,True,professional
WEAR00000209,ATH000006,2024-09-18,Whoop,8833,185,1608,166,178,70,7.1,72.3,56,61,True,professional
WEAR00000210,ATH000006,2022-01-27,Fitbit,8701,114,1131,146,155,61,8.2,81.5,51,65,True,professional
WEAR00000211,ATH000006,2024-10-30,Apple Watch,12245,224,2204,160,175,67,7.4,77.3,32,74,True,professional
WEAR00000212,ATH000006,2023-07-05,Garmin,12742,176,2079,163,172,67,8.0,74.6,41,83,True,professional
WEAR00000213,ATH000006,2023-12-15,Garmin,11329,148,1319,155,172,73,8.9,93.2,39,60,True,professional
WEAR00000214,ATH000006,2024-11-12,Apple Watch,11476,216,2969,184,193,72,8.2,73.9,30,65,True,professional
WEAR00000215,ATH000006,2024-11-23,Garmin,10799,230,3132,155,177,48,8.2,70.7,41,78,True,professional
WEAR00000216,ATH000006,2022-03-14,Garmin,13989,194,1505,166,175,50,7.3,90.5,45,85,True,professional
WEAR00000217,ATH000006,2023-04-24,Whoop,14816,206,1888,135,156,60,8.5,91.4,43,68,True,professional
WEAR00000218,ATH000006,2023-05-16,Whoop,14866,215,1713,135,155,63,8.1,71.2,36,66,True,professional
WEAR00000219,ATH000006,2024-05-23,Whoop,14939,139,1503,169,170,48,8.7,72.2,60,64,True,professional
WEAR00000220,ATH000006,2024-03-08,Apple Watch,12487,171,1311,131,157,46,8.7,72.6,60,60,True,professional
WEAR00000221,ATH000006,2023-12-06,Whoop,13478,156,2071,166,171,58,8.2,89.4,52,63,True,professional
WEAR00000222,ATH000006,2022-04-27,Whoop,8943,196,2778,188,194,53,8.0,93.8,29,74,True,professional
WEAR00000223,ATH000006,2023-10-30,Garmin,9323,139,1279,167,180,58,8.6,71.8,60,75,True,professional
WEAR00000224,ATH000006,2022-05-15,Garmin,14390,142,1295,139,157,45,8.9,77.6,43,63,True,professional
WEAR00000225,ATH000006,2024-06-22,Fitbit,11301,250,2745,153,173,57,7.0,74.2,27,73,True,professional
WEAR00000226,ATH000006,2024-08-06,Garmin,13982,163,1452,163,175,54,8.1,78.9,42,71,True,professional
WEAR00000227,ATH000006,2023-03-16,Apple Watch,12083,227,2040,131,152,63,7.1,94.5,34,66,True,professional
WEAR00000228,ATH000006,2024-02-01,Whoop,14718,207,1557,139,153,49,7.8,85.0,23,73,True,professional
WEAR00000229,ATH000006,2022-12-21,Apple Watch,11708,268,2683,153,179,51,8.7,92.8,32,75,True,professional
WEAR00000230,ATH000006,2024-02-04,Garmin,10579,191,1856,132,151,74,7.4,80.7,41,68,True,professional
