Table 1
SECOND PRACTICE MOSTLY IN MORNINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,completion of first exercise,,,Meal,completion of first exercise,,,Pre-Snack,1.5 before first exercise,,,12-1pm,Pre-Snack,1.5 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Post-Snack,completion of second exercise,,,Post-snack,completion of second exercise,,,Meal,completion of first exercise,,,,Meal,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,2 after last meal,,,Meal,3 after last meal,,,Post-snack,completion of second exercise,,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,3 after last meal,,,Meal,3 after last meal,,,Meal,3 after last meal,,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,If Practice 1 = 3hours,,,,Meal,3 after last meal,,,,Meal,4 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pre-Snack,1.5 before first exercise,,12pm-1pm,If Practice 1 = 1 or 2 hours,,,,,If Practice 1 = 2 or 3 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Post Snack,completion of first exercise,,,Pre-Snack,1.5 before first exercise,,,,Pre-Snack,1.5 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,completion of second exercise,,,Meal,completion of first exercise,,,,Post-Snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,3 after last meal,,,Pre-Snack,1 before second exercise,,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,3 after last meal,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,3 after last meal,,,,Meal,3 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,If Practice 1 = 3hours,,,,,If Practice 1 = 1hour or 2 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pre-Snack,1.5 before first exercise,,,1pm-2pm,Pre-Snack,1.5 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Post-Snack,completion of first exercise,,,,Meal,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pre-Snack,1 before second exercise,,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,4 after last meal,,,,Meal,4 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,If Practice 1 = 3 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1pm-2pm,Pre-Snack,1.5 before first exercise,,,,Pre-Snack,1.5 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,completion of first exercise,,,,Post-Snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pre-Snack,1 before second exercise,,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,3 after last meal,,,,Meal,3 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECOND PRACTICE STARTING MOSTLY IN AFTERNOONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5am - 7am,,,,,,7am-9am,,,,,,,9am-10am,,,,,,,,10am-11am,,,,,,,11am-12pm,,,,,,12pm-1pm,,,,,1pm-2pm,,,,2pm-3pm,,,,3pm-4pm,,,,4pm-5pm,,,5pm-6pm,,,,,6pm-7pm,,,7pm-8pm,,,,8pm-9pm,,,
,,,,,,,12-2pm,Pre-Snack,1.5 before first exercise,,,,,SEE ABOVE FOR EARLIER PRACTICE 2S,,,,,,,,If Practice 1 = 1hour,,,,,,,1pm-2pm,Pre-Meal,3 before first exercise,,,1pm-2pm,Pre-Meal,3 before first exercise,,,2-3pm,1 Hour Practice 1--> Practice 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12pm-2pm,Pre-Snack,1.5 before first exercise,,,,,,Meal,completion of first exercise,,,,,,,,,,,,12pm-1pm,Pre-Meal,3 before first exercise,,,,,,,Post-snack,completion of first exercise,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pre-Meal,completion of first exercise,,,,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,Pre-snack,1 before first exercise,,,,,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,3pm-4pm,Only applies to Practice 1= 1hour,,,4-5pm,Only applies to Practice 1= 1hour,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pre-Snack,1 before second exercise,,,,,,Meal,completion of second exercise,,,,,,,,,,,,,Post-Snack,completion of first exercise,,,,,,,Meal,3 after last meal,,,,Meal,3 after last meal,,,,Pre-Meal,3 before first exercise,,,Meal,7 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,completion of second exercise,,,,,,Meal,3 after last meal,,,,,,,,,,,,,Meal,completion of second exercise,,,,,,,Snack,2 after last meal,,,,snack,2 after last meal,,,,Pre Snack,1 before first exercise,,,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,3 after last meal,,,,,2pm-3pm,Pre-Snack,1.5 before first exercise,,,,,,,,,,,,,Meal,5 after last meal,,,,,,2pm-3pm,If Practice 1 = 1hour or 2 hours,,,,,"^ Maybe leave this out? This is basically a 2+ hour practice, no?",,,,,Post-Snack,completion of first exercise,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,
2pm-3pm,Pre-Snack,1.5 before first exercise,,,,,,Meal,completion of first exercise,,,,,,,,,,,,,,,,,,,,,Pre-Meal,3 before first exercise,,,,,,,,,Meal,completion of second exercise,,,Post-snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,completion of first exercise,,,,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,,,,,,,,,Pre-Snack,1 before first exercise,,,,,,,,,Meal,3 after last meal,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,
,Pre-Snack,1 before second exercise,,,,,,Meal,completion of second exercise,,,,,,,,,,,,,If Practice 1 = 1hour or 2 hours,,,,,,,,Post-snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,completion of second exercise,,,,,,Meal,3 after last meal,,,,1-2pm,Meal,2 before first exercise,,,,,,1-2pm,Meal,3 before first exercise,,,,,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,2 after last meal,,,,,3pm-4pm,Pre-Snack,1.5 before first exercise,,,,,Post-snack,completion of first exercise,,,,,,,Post-snack,completion of first exercise,,,,,,,Meal,3 after last meal,,,2pm-3pm,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3pm-4pm,Pre-Snack,1.5 before first exercise,,,,,,Meal,completion of first exercise,,,,,Meal,completion of second exercise,,,,,,,Meal,completion of second exercise,,,,,,3pm-4pm,If Practice 1 = 2hour or 3 hours,,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,completion of first exercise,,,,,,Pre-Meal,3 before second exercise,,,,,Meal,3 after last meal,,,,,,,Meal,3 after last meal,,,,,,,Pre-Meal,3 before first exercise,,,,Meal,completion of second exercise,,,4pm-5pm,Only applies to Practice 1= 1hour + 2 Hour,,,,Only applies to Practice 1= 1hour + 2 Hour,,,,Only applies to Practice 1= 1hour,,,,,,,,,,,,,,,,,,,,,,
,Pre-Meal,3 before second exercise,,,,,,Post Snack,completion of second exercise,,,,,Snack,2 after last meal,,,,,,,Snack,2 after last meal,,,,,,,Pre-Snack,1 before first exercise,,,,Meal,3 after last meal,,,,Pre-Meal,3 before first exercise,,5pm-6pm,Meal,7 before first exercise,,5pm-6pm,Meal,7 before first exercise,,,,,,7pm-8pm,Only applies to Practice 1= 1hour,,,8pm-9pm,Only applies to Practice 1= 1hour,,,9pm-10pm,Only applies to Practice 1= 1hour,,,10pm+,Only applies to Practice 1= 1hour,,
,Post Snack,completion of second exercise,,,,,,Meal,2 after last meal,,,,2pm-3pm,3 HOUR PRACTICE 1,,,1 OR 2 HOUR PRACTICE 1,,,,2pm-3pm,PRACTICE 1= 2 or 3 hours,,,PRACTICE 1= 1 hour,,,,,Post-snack,completion of first exercise,,,,snack,2 after last meal,,,,Pre Snack,1 before first exercise,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,,,,,Meal,7 before first exercise,,,Meal,11 before first exercise,,,Meal,10 before first exercise,,,Meal,10 before first exercise,
,Meal,2 after last meal,,,,,4pm-6pm,Pre-Snack,1.5 before first exercise,,,,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,,,Meal,completion of second exercise,,,,,,,,,Post-Snack,completion of first exercise,,,Pre-Snack,1 before first exercise,,,Pre-Snack,1 before first exercise,,,,,,,Pre-Meal,3 before first exercise,,,Meal,3 after last meal,,,Meal,3 after last meal,,,Meal,3 after last meal,
4pm-6pm,Pre-Snack,1.5 before first exercise,,,,,,Meal,completion of first exercise,,,,,Post-Snack,completion of first exercise,,Meal,completion of first exercise,,,,Post-Snack,completion of first exercise,,Meal,completion of first exercise,,,,Meal,3 after last meal,,,3pm-4pm,If Practice 1 = 1hour or 2 hours,,,,,Meal,completion of second exercise,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,,,,,Pre-Snack,1 before first exercise,,,Pre-meal,3 before first exercise,,,Pre-meal,3 before first exercise,,,Pre-meal,3 before first exercise,
,Meal,completion of first exercise,,,,,,Pre-Meal,3 before second exercise,,,,,Meal,completion of second exercise,,Post-Snack,completion of second exercise,,,,Meal,completion of second exercise,,Post-Snack,completion of second exercise,,,,If Practice 1 = 1hour ,,,,,Pre-Meal,3 before first exercise,,,,Meal,3 after last meal,,,Meal,completion of second exercise,,,Meal,completion of second exercise,,,,,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,
,Pre-Meal,3 before second exercise,,,,,,Meal,completion of second exercise,,,,,Meal,3 after last meal,,Meal,3 after last meal,,,,Meal,3 after last meal,,Meal,3 after last meal,,,,Pre-Meal,3 before first exercise,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,Meal,completion of second exercise,,,Post-snack,completion of second exercise,,,Post-snack,completion of second exercise,,,Post-snack,completion of second exercise,
,Meal,completion of second exercise,,,,,,Snack,2 after last meal,,,,,Snack,2 after last meal,,Snack,2 after last meal,,,,Snack,2 after last meal,,Snack,2 after last meal,,,,Pre-Snack,1 before first exercise,,,,Post-snack,completion of first exercise,,,5pm-6pm,Only applies to Practice 1= 1hour ,,,6pm-7pm,Meal,7 before first exercise,,6pm-7pm,Only applies to Practice 1= 1hour + 2 Hour,,,,Only applies to Practice 1= 1hour,,,,,,,,,,,,,,,,,,
,Snack,2 after last meal,,,,,6pm-7pm,Pre-Snack,1.5 before first exercise,,,,,,,,,,,,,,,,,,,,,Meal,completion of first exercise,,,,Meal,completion of second exercise,,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,Meal,7 before first exercise,,6pm-7pm,Meal,7 before first exercise,,8pm-9pm,Only applies to Practice 1= 1hour,,,9pm-10pm,Only applies to Practice 1= 1hour + 2 Hour,,,10pm+,Only applies to Practice 1= 1hour + 2 Hour,,,,,,
6pm-7pm,Pre-Snack,1.5 before first exercise,,,,,,Meal,completion of first exercise,,,,3pm-4pm,Pre-Meal,3 before first exercise,,,,,,3pm-4pm,Pre-Meal,3 before first exercise,,,,,,,Post-snack,completion of second exercise,,,,Meal,3 after last meal,,,,Pre Snack,1 before first exercise,,,Pre-Snack,1 before first exercise,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,Meal,7 before first exercise,,,Meal,11 before first exercise,,,Meal,10 before first exercise,,,,,
,Meal,completion of first exercise,,,,,,Pre-Meal,4 before second exercise,,,,,Pre-Meal,3 before second exercise,,,,,,,Pre-Meal,3 before second exercise,,,,,,,Meal,3 after last meal,,,,,,,,,Meal,completion of first exercise,,,Post-snack,completion of first exercise,,,Pre-Snack,1 before first exercise,,,Pre-Snack,1 before first exercise,,,Pre-Meal,3 before first exercise,,,Meal,3 after last meal,,,Meal,3 after last meal,,,,,
,Pre-Meal,4 before second exercise,,,,,,Pre-Snack,1 hour before second exercise,,,,,Pre- Snack,1 before second exercise,,,,,,,Post-Snack,completion of second exercise,,,,,,4-5pm,If Practice 1 = 2hour or 3 hours,,,,4pm-5pm,If Practice 1 = 1hour ,,,,,Post-Snack,completion of second exercise,,,Meal,completion of second exercise,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,Pre-Snack,1 before first exercise,,,Pre-meal,3 before first exercise,,,Pre-meal,3 before first exercise,,,,,
,Pre-Snack,1 hour before second exercise,,,,,,Meal,completion of second exercise,,,,,Post-Snack,completion of second exercise,,,,,,,Meal,3 after last meal,,,,,,,Pre-Meal,3 before first exercise,,,,Pre-Meal,3 before first exercise,,,,Meal,3 after last meal,,,,,,,Meal,completion of second exercise,,,Meal,completion of second exercise,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,,,
,Meal,completion of second exercise,,,,,7-8pm,Pre-Snack,1.5 before first exercise,,,,,Meal,3 after last meal,,,,,,,Snack,2 after last meal,,,,,,,Pre-Snack,1 before first exercise,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,Pre-Snack,1 before second exercise,,,Post-snack,completion of second exercise,,,Post-snack,completion of second exercise,,,,,
7pm-8pm,Pre-Snack,1.5 before first exercise,,,,,,Meal,completion of first exercise,,,,,,,,,,,,,,,,,,,,,Meal,completion of first exercise,,,,Meal,completion of first exercise,,,,Only applies to Practice 1= 2hour or 3 Hour ,,,7pm-,Only applies to Practice 1= 1hour + 2 Hour,,,7pm-8pm,Only applies to Practice 1= 1hour,,,7pm-8pm,Only applies to Practice 1= 1hour + 2 Hour,,,,Post-snack,completion of second exercise,,,,,,,,,,,,,
,Meal,completion of first exercise,,,,,,Meal,3 after last meal,,,,4pm-6pm,Pre-Meal,3 before first exercise,,,,,,4pm-6pm,Pre-Meal,3 before first exercise,,,,,,,Meal,completion of second exercise,,,,Post-Snack,completion of second exercise,,,,Pre-Meal,3 before first exercise,,,Meal,7 before first exercise,,,Meal,7 before first exercise,,,Meal,7 before first exercise,,,,,,10pm+,Meal,11 before first exercise,,,,,,,,,
,Meal,3 after last meal,,,,,,Pre-Meal,3 before second exercise,,,,,Pre-Meal,4 before second exercise,,,,,,,Pre-Snack,1 before first exercise,,,,,,,Snack,3 after last meal,,,,Meal,2 after last meal,,,,Pre Snack,1 before first exercise,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,Only applies to Practice 1= 2hour,,,,Meal,3 after last meal,,,,,,,,,
,Pre-Meal,3 before second exercise,,,,,,Post-Snack,completion of second exercise,,,,,Pre-snack,1 before second exercise,,,,,,,Pre-Meal,3 before second exercise,,,,,,1 hour ? ->,For 3 hour practice,,,,,If Practice 1 = 2hour or 3 hours,,,,,Post-Snack,completion of first exercise,,,Meal,completion of first exercise,,,Meal,completion of first exercise,,,Pre-Snack,1 before first exercise,,,Meal,7 before first exercise,,,Pre-meal,3 before first exercise,,,,,,,,,
,Post-Snack,completion of second exercise,,,,,8-10pm,Pre-Snack,1.5 before first exercise,,,,,Meal,completion of second exercise,,,,,,,Pre-snack,1 before second exercise,,,,,,,Pre-Meal,3 before first exercise,,,,Pre-Meal,3 before first exercise,,,,Meal,completion of second exercise,,,Pre-Snack,1 before second exercise,,,Pre-Snack,1 before second exercise,,,Post-snack,completion of first exercise,,,Pre-Meal,3 before first exercise,,,Post-snack,completion of first exercise,,,,,,,,,
8pm-10pm,Pre-Snack,1.5 before first exercise,,,,,,Meal,completion of first exercise,,,,,snack,2 after last meal,,,,,,,Meal,completion of second exercise,,,,,,,Pre-Snack,1 before first exercise,,,,Pre-Snack,1 before first exercise,,,,Meal,3 after last meal,,,Post-snack,completion of second exercise,,,Post-snack,completion of second exercise,,,Meal,completion of second exercise,,,Pre-Snack,1 before first exercise,,,Post-snack,completion of second exercise,,,,,,,,,
,Meal,completion of first exercise,,,,,,Meal,4 after last meal,,,,,,,,,,,,,,,,,,,,,Post-Snack,completion of first exercise,,,,Post-Snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,Post-snack,completion of first exercise,,,,,,,,,,,,,
,Meal,4 after last meal,,,,,,Pre-Meal,3 before second exercise,,,,6pm-7pm,Pre-Meal,3 before first exercise,,,,,,6pm-7pm,Pre-Meal,3 before first exercise,,,,,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,6pm-8pm,Pre-Meal,3 before first exercise,,,Only applies to Practice 1= 3 Hours,,,,Only applies to Practice 1= 2hour + 3 hour,,,8pm-,Only applies to Practice 1= 1hour,,,,Post-snack,completion of second exercise,,,,,,,,,,,,,
,Pre-Meal,3 before second exercise,,,,,,Post-Snack,completion of second exercise,,,,,Post-snack,completion of first exercise,,,,,,,Post-snack,completion of first exercise,,,,,,,Snack,3 after last meal,,,,Meal,2 after last meal,,,,Pre Snack,1 before first exercise,,,Meal,7 before first exercise,,,Meal,7 before first exercise,,,Meal,7 before first exercise,,,,,,,,,,,,,,,,,
,Post-Snack,completion of second exercise,,,,,,,,,,,,Pre-Meal,3 before second exercise,,,,,,,Pre-Meal,3 before second exercise,,,,,,,,,,,,,,,,,Meal,completion of first exercise,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,9pm-10pm,Only applies to Practice 1= 1hour,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pre-snack,1 before second exercise,,,,,,,Pre-snack,1 before second exercise,,,,,,,,,,,5pm-6pm,For 1 + 2 hour practice,,,,,Pre-Snack,2 after last meal,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,Meal,completion of first exercise,,,Meal,7 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Meal,completion of second exercise,,,,,,,Meal,completion of second exercise,,,,,,5pm-6pm,Pre-Meal,3 before first exercise,,,,Pre-Meal,3 before first exercise,,,,Meal,completion of second exercise,,,Pre-Snack,1 before second exercise,,,Pre-Snack,1 before second exercise,,,Pre-Snack,1 before second exercise,,,Pre-Meal,3 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Snack,1 before first exercise,,,,Pre-Snack,1 before first exercise,,,,,,,,Meal,completion of second exercise,,,Meal,completion of second exercise,,,Post-snack,completion of second exercise,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,7pm-8pm,Pre-Meal,3 before first exercise,,,,,,7pm-8pm,Pre-Meal,3 before first exercise,,,,,,,Meal,completion of first exercise,,,,Meal,completion of first exercise,,,8pm-9pm,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,Meal,completion of first exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Post-snack,completion of first exercise,,,,,,,Post-snack,completion of first exercise,,,,,,,Pre-Snack,1 before second exercise,,,,Pre-Snack,1 before second exercise,,,,Pre Snack,1 before first exercise,,8pm-10pm,Meal,7 before first exercise,,8pm-9pm,Only applies to Practice 1= 1hour + 2 Hour,,,,Only applies to Practice 1= 2hour,,,,Pre-Snack,1 before second exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pre-Meal,4 before second exercise,,,,,,,Pre-Meal,4 before second exercise,,,,,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,,Meal,completion of first exercise,,,Pre-Meal,3 before first exercise,,,Meal,7 before first exercise,,,Meal,7 before first exercise,,,Post-snack,completion of second exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pre-snack,1 before second exercise,,,,,,,Pre-snack,1 before second exercise,,,,,,,,,,,,For 3 hour practice,,,,,Pre-Snack,1 before second exercise,,,Meal,completion of first exercise,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Meal,completion of second exercise,,,,,,,Meal,completion of second exercise,,,,,,,,,,,,Pre-Meal,3 before first exercise,,,,Meal,completion of second exercise,,,Pre-Snack,1 before second exercise,,,Meal,completion of first exercise,,,Post-snack,completion of first exercise,,,Only applies to Practice 1= 2hour,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3 HOUR PRACTICE 1,,,,,,,,PRACTICE 1= 2 or 3 hours,,,,6pm-8pm,Pre-Meal,3 before first exercise,,,,Pre-Snack,1 before first exercise,,,,,,,,Post-snack,completion of second exercise,,,Pre-Snack,1 before second exercise,,,Pre-Snack,1 before second exercise,,,Meal,7 before first exercise,,,,,,,,,,,,,
