Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 practice,,,,,Before 9am,9:00 AM,,,10:00,,,11:00 AM,,,12:00 AM,,,1:00 PM,,,2:00 PM,,,3:00 PM,,,4:00 PM,,,5:00 PM,,,6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5am 1hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2 parts to meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 part to snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Meal on completion of exercise should not open up in card 1 hour before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,When exercises are together or within 30 minutes of each other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5am-6am,,,,,,,,,,,,9am-10am,,,,,,,10am-11am,,,,,,,,11am-12pm,,,,,,12pm-1pm,,,,,1pm-2pm,,,,2pm-3pm,,,,3pm-4pm,,,,4pm-5pm,,,5pm-6pm,,,,,6pm-7pm,,,7pm-8pm,,,,8pm-9pm,,,
,,,,10am-11am,Pre-Snack,1.5 before first exercise,,,,10am-12pm,Pre-Snack,1.5 before first exercise,,,,10am-1pm,,,,,,,,11am-1pm,,,,,,,,1pm-2pm,Pre-Meal,3 before first exercise,,,1pm-2pm,Pre-Meal,3 before first exercise,,,2-3pm,1 Hour Practice 1--> Practice 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,completion of first exercise,,,,,Post Snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,Post-snack,completion of first exercise,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Post-Snack,completion of second exercise,,,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,3pm-4pm,Only applies to Practice 1= 1hour,,,4-5pm,Only applies to Practice 1= 1hour,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,2 after last meal,,,,,Meal,2 after last meal,,,,,,,,,,,,,,,,,,,,,Meal,3 after last meal,,,,Meal,3 after last meal,,,,Pre-Meal,3 before first exercise,,,Meal,7 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,3 after last meal,,,,,Meal,3 after last meal,,,,,,,,,,,,,,,,,,,,,Snack,2 after last meal,,,,snack,2 after last meal,,,,Pre Snack,1 before first exercise,,,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,If practice 1= 3 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pre-Snack,1.5 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Post-Snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pre Snack,1 before second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,3 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,3 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11am-12pm,Pre-Snack,1.5 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Post-Snack,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,2 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,3 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5am - 7am,,,,,7am-9am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"if 2 hours only between practices, switch meal and post snack around",,,,,,,No overlapping post-snack with next exercise- add this snack in for any overlap 1 hour post last meal,,,,,,,,,,,,,,,,,,,,,No post snack if overlap with second practice; add later in day,,,,,,,,,,Post-Snack,completion of first exercise,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12pm-2pm,Pre-Snack,1.5 before first exercise,,,,12-2pm,Pre-Snack,1.5 before first exercise,,,,1-2pm,Meal,2 before first exercise,,,,,,1-2pm,Meal,2 before first exercise,,No post snack if overlap with second practice; add later in day 2 after last meal,,,,,,,,,,,,,,,Meal,completion of second exercise,,,Post-snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,completion of first exercise,,,,,Meal,completion of first exercise,,,,,Post-snack,completion of first exercise,,,,,,,Post-snack,completion of first exercise,,,,,,2pm-3pm,Pre-Meal,3 before first exercise,,,2pm-3pm,Pre-Meal,3 before first exercise,,,,Meal,3 after last meal,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pre-Snack,1 before second exercise,,,,,Pre-Snack,1 before second exercise,,,,,Meal,completion of second exercise,,,,,,,Meal,completion of second exercise,,,,,,,Pre-Snack,1 before first exercise,,,,Pre-Snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,completion of second exercise,,,,,Meal,completion of second exercise,,,,,Meal,3 after last meal,,,,,,,Meal,3 after last meal,,,,,,,Post-snack,completion of first exercise,,,,Meal,completion of second exercise,,,4pm-5pm,Only applies to Practice 1= 1hour + 2 Hour,,,,Only applies to Practice 1= 1hour + 2 Hour,,,,Only applies to Practice 1= 1hour,,,,,,,,,,,,,,,,,,,,,,
,,,,,Meal,3 after last meal,,,,,Meal,3 after last meal,,,,,Snack,2 after last meal,,,,,,,Snack,2 after last meal,,,,,,,Meal,completion of second exercise,,,,Meal,3 after last meal,,,,Pre-Meal,3 before first exercise,,5pm-6pm,Meal,7 before first exercise,,5pm-6pm,Meal,7 before first exercise,,,,,,7pm-8pm,Only applies to Practice 1= 1hour,,,8pm-9pm,Only applies to Practice 1= 1hour,,,9pm-10pm,Only applies to Practice 1= 1hour,,,10pm+,Only applies to Practice 1= 1hour,,
,,,,2pm-3pm,Pre-Snack,1.5 before first exercise,,,,2pm-3pm,Pre-Snack,1.5 before first exercise,,,,2pm-3pm,3 HOUR PRACTICE 1,,,1 OR 2 HOUR PRACTICE 1,,,,2pm-3pm,PRACTICE 1= 2 or 3 hours,,,PRACTICE 1= 1 hour,,,,,Meal,3 after last meal,,,,snack,2 after last meal,,,,Pre Snack,1 before first exercise,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,,,,,Meal,7 before first exercise,,,Meal,11 before first exercise,,,Meal,10 before first exercise,,,Meal,10 before first exercise,
,,,,,Meal,completion of first exercise,,,,,Meal,completion of first exercise,,,,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,,,No post snack if overlap with second practice; add later in day 2 after last meal,,,,,,,,,,Post-Snack,completion of first exercise,,,Pre-Snack,1 before first exercise,,,Pre-Snack,1 before first exercise,,,,,,,Pre-Meal,3 before first exercise,,,Meal,3 after last meal,,,Meal,3 after last meal,,,Meal,3 after last meal,
,,,,,Pre-Snack,1 before second exercise,,,,,Pre-Snack,1 before second exercise,,,,,Post-Snack,completion of first exercise,,Meal,completion of first exercise,,,,Post-Snack,completion of first exercise,,Meal,completion of first exercise,,,3pm-4pm,Pre-Meal,3 before first exercise,,,3pm-4pm,Pre-Meal,3 before first exercise,,,,Meal,completion of second exercise,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,,,,,Pre-Snack,1 before first exercise,,,Pre-meal,3 before first exercise,,,Pre-meal,3 before first exercise,,,Pre-meal,3 before first exercise,
,,,,,Meal,completion of second exercise,,,,,Meal,completion of second exercise,,,,,Meal,completion of second exercise,,Post-Snack,completion of second exercise,,,,Meal,completion of second exercise,,Post-Snack,completion of second exercise,,,,Pre-Snack,1 before first exercise,,,,Pre-Snack,1 before first exercise,,,,Meal,3 after last meal,,,Meal,completion of second exercise,,,Meal,completion of second exercise,,,,,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,
,,,,,Meal,2 after last meal,,,,,Meal,3 after last meal,,,,,Meal,3 after last meal,,Meal,3 after last meal,,,,Meal,3 after last meal,,Meal,3 after last meal,,,,Post-snack,completion of first exercise,,,,Post-snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,Meal,completion of second exercise,,,Post-snack,completion of second exercise,,,Post-snack,completion of second exercise,,,Post-snack,completion of second exercise,
,,,,3pm-4pm,Pre-Snack,1.5 before first exercise,,,,3pm-4pm,Pre-Snack,1.5 before first exercise,,,,,Snack,2 after last meal,,Snack,2 after last meal,,,,Snack,2 after last meal,,Snack,2 after last meal,,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,5pm-6pm,Only applies to Practice 1= 1hour ,,,6pm-7pm,Meal,7 before first exercise,,6pm-7pm,Only applies to Practice 1= 1hour + 2 Hour,,,,Only applies to Practice 1= 1hour,,,,,,,,,,,,,,,,,,
,,,,,Meal,completion of first exercise,,,,,Meal,completion of first exercise,,,,,,,,,,,,,,,,,,,,,Meal,3 after last meal,,,,Meal,3 after last meal,,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,Meal,7 before first exercise,,6pm-7pm,Meal,7 before first exercise,,8pm-9pm,Only applies to Practice 1= 1hour,,,9pm-10pm,Only applies to Practice 1= 1hour + 2 Hour,,,10pm+,Only applies to Practice 1= 1hour + 2 Hour,,,,,,
,,,,,Pre-Meal,3 before second exercise,,,,,Pre-Meal,3 before second exercise,,,,3pm-4pm,Pre-Meal,3 before first exercise,,,,,,3pm-4pm,Pre-Meal,3 before first exercise,,,,,,,,,,,,No post snack if overlap with second practice; add later in day 2 after last meal,,,,,Pre Snack,1 before first exercise,,,Pre-Snack,1 before first exercise,,,Pre-Meal,3 before first exercise,,,Pre-Meal,3 before first exercise,,,Meal,7 before first exercise,,,Meal,11 before first exercise,,,Meal,10 before first exercise,,,,,
,,,,,Post Snack,completion of second exercise,,,,,Post Snack,completion of second exercise,,,,,Pre-Meal,3 before second exercise,,,,,,,Pre-Meal,3 before second exercise,,,,,,,,,,,,,,,,,Meal,completion of first exercise,,,Post-snack,completion of first exercise,,,Pre-Snack,1 before first exercise,,,Pre-Snack,1 before first exercise,,,Pre-Meal,3 before first exercise,,,Meal,3 after last meal,,,Meal,3 after last meal,,,,,
,,,,,Meal,2 after last meal,,,,,Meal,2 after last meal,,,,,Post-Snack,completion of second exercise,,,,,,,Post-Snack,completion of second exercise,,,,,,4-5pm,Pre-Meal,3 before first exercise,,,4pm-5pm,Pre-Meal,3 before first exercise,,,,Post-Snack,completion of second exercise,,,Meal,completion of second exercise,,,Post-snack,completion of first exercise,,,Post-snack,completion of first exercise,,,Pre-Snack,1 before first exercise,,,Pre-meal,3 before first exercise,,,Pre-meal,3 before first exercise,,,,,
