Table 1
,,Daily Total,Per Meal Distribution,,,,,,,,
Exercise 1,"5am & <1.5hrs
Weightlifting (Power)
Intense","Pre-Snack        1.5 before first exercise        
Meal        completion of first exercise        
Pre-Snack        1 before second exercise        
Meal        completion of second exercise        
Meal        2 after last meal        ","3:30am - Pre-snack
5am - Exercise 1
6:30am - Meal
1pm - Pre-snack
3:30pm - Meal
5:30pm - Meal",,,,,,,,
Exercise 2,"2pm & <1.5hrs
Long distance running (Endurance)
Moderate",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Step 1 - calculate calories per recommendation (12.5% snacks/pre-snacks/post-snacks and remainder split evenly in meals/pre-meals),,,,,,,,,,,
Pre Snack,12.50%,311.91,EXERCISE NEVER MATTERS,,,,,,,,
Meal,25%,623.829469315423,,,,,,,,,
Pre Snack,12.50%,311.91,,,,,,,,,
Meal,25%,623.829469315423,,,,,,,,,
Meal,25%,623.829469315423,,,,,,,,,
,,,,,,,,,,,
"Step 2 - calculate pre-snacks, pre-meals, and post-snacks if there are any as per A6:I18 MEAL TYPE <> EXERCISE TYPE <> INTENSITY MAP (days with no practices get distribution of 12.5% snacks and the rest evenly on meals)",,,,,,,,,,,
,Exercise type,Exercise Intensity,% Distribution Carb,% Distribution Protein,Distribution Carb,Distribution Protein,2-EXERCISE EXAMPLE,,,,
Pre Snack,Power,Intense,12.50%,0%,4082.33%,0%,,,,,
Meal,,,,,,,,,,,
Pre Snack,Endurance,Moderate,12.5%,0%,4082.3%,0%,,,,,
Meal,,,,,,,,,,,
Meal,,,,,,,,,,,
"**** NOTE: Every pre-snack, post-snack, and pre-meal is associated with an exercise",,,,,,,,,,,
,,,,,,,,,,,
Step 3 - calculate remainder of carbs / protein,,,,,,,,,,,
Carb remainder,24493.968%,,,,,,,,,,
Pro remainder,11249%,,,,,,,,,,
,,,,,,,,,,,
Step 4 - distribute carbs / protein in remaining meals at ratio of 2:1 (meals:snacks),,,Hypothetical example if there were 1 snack,,,,,,,,
Remaining meals,3,,3,,,,,,,,
Remaining snacks,0,,1,,,,,,,,
Carbs / meal,81.64656,,69.9827657142857,,,,,,,,
Protein / meal,3750%,,3214%,,,,,,,,
Carbs / snack,0,,34.9913828571429,,,,,,,,
Protein / snack,0,,1607%,,,,,,,,
,,,,,,,,,,,
Step 5 - full table,,,,,,,,,,,
,Exercise type,Exercise Intensity,% Distribution Carb,% Distribution Protein,Distribution Carb,Distribution Protein,Distribution Calories,,,,
Pre Snack,Power,Intense,12.50%,0%,4082.33%,0%,311.91,,,,
,,,,,81.64656,3750%,623.829469315423,,,,
,Endurance,Moderate,12.5%,0%,4082.3%,0%,311.91,,,,
,,,,,81.64656,3750%,623.829469315423,,,,
,,,,,81.64656,3750%,623.829469315423,,,,
,,,,Total,32658.624%,11249%,2495.31787726169,,,,
Step 6 - adjustment examples,,,,,,,,,,,
,,Carbs,Protein,Calories,,,,,,,
3:30 AM,Pre Snack,48.19415,0,463.755769338961,,,,,,,
6:30 AM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
1:00 PM,Pre Snack,50.121916,0,463.755769338961,,,,,,,
3:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
5:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Total,385.5532,131.088088,3710.04615471169,,,,,,,
,,,,,,,,,,,
"CASE 1 - User opens app before first meal (3:30AM in this case) and assigns ""consumed"" meals for recommendations in the future",,,,,,,,,,,
,,Carbs,Protein,Calories,,,,,,,
3:30 AM,Pre Snack,48.19415,0,463.755769338961,,,,,,,
,Consumed,ANY,ANY,ANY,,,,,,,
,Adjustments,NONE,NONE,NONE,,,,,,,
6:30 AM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,ANY,ANY,ANY,,,,,,,
,Adjustments,NONE,NONE,NONE,,,,,,,
1:00 PM,Pre Snack,50.121916,0,463.755769338961,,,,,,,
,Consumed,ANY,ANY,ANY,,,,,,,
,Adjustments,NONE,NONE,NONE,,,,,,,
3:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,ANY,ANY,ANY,,,,,,,
,Adjustments,NONE,NONE,NONE,,,,,,,
5:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,ANY,ANY,ANY,,,,,,,
,Adjustments,NONE,NONE,NONE,,,,,,,
,,,,,,,,,,,
CASE 2 - User opens app between first and second meals (let's say 6AM) and somehow meets all recommendations perfectly,,,,,,,,,,,
,,Carbs,Protein,Calories,,,,,,,
3:30 AM,Pre Snack,48.19415,0,463.755769338961,,,,,,,
,Consumed,48.19415,0,463.755769338961,,,,,,,
,Adjustments,NONE,NONE,NONE,,,,,,,
6:30 AM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,ANY,ANY,ANY,,,,,,,
,Adjustments,NONE,NONE,NONE,,,,,,,
1:00 PM,Pre Snack,50.121916,0,463.755769338961,,,,,,,
,Consumed,ANY,ANY,ANY,,,,,,,
,Adjustments,NONE,NONE,NONE,,,,,,,
3:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,ANY,ANY,ANY,,,,,,,
,Adjustments,NONE,NONE,NONE,,,,,,,
5:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,ANY,ANY,ANY,,,,,,,
,Adjustments,NONE,NONE,NONE,,,,,,,
,,,,,,,,,,,
CASE 3 - User opens app between first and second meals (let's say 6AM) and does not meet all recommendations perfectly,,,,,,,,,,,
,,Carbs,Protein,Calories,,,Carbs,Protein,Calories,,
3:30 AM,Pre Snack,48.19415,0,463.755769338961,,temp_adjustment,2.73138333333333,-6.66666666666667,54.5852564463203,,
,Consumed,40,20,300,,,^ 3 meals remain because pre and post snacks never get adjusted,,,,
6:30 AM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,0,0,0,,,,,,,
,Adjustments,2.73138333333333,-2.18480146666667,46.3755769338961,,,,,,,
1:00 PM,Pre Snack,50.121916,0,463.755769338961,,,,,,,
,Consumed,0,0,0,,,,,,,
,Adjustments,0,0,0,<- Pre- and Post- snacks never get adjusted,,,,,,
3:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,0,0,0,,,,,,,
,Adjustments,2.73138333333333,-2.18480146666667,46.3755769338961,,,,,,,
5:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,0,0,0,,,,,,,
,Adjustments,2.73138333333333,-2.18480146666667,46.3755769338961,,,,,,,
,,,,,,,,,,,
CASE 4 - User opens app between second and third meals (let's say 12PM) and does not meet all recommendations perfectly,,,,,,,,,,,
,,Carbs,Protein,Calories,,,Carbs,Protein,Calories,,
3:30 AM,Pre Snack,48.19415,0,463.755769338961,,temp_adjustment,-11.6643776666667,-14.2443860666667,68.8214424753896,,
,Consumed,40,20,300,,,^ 2 meals remain because pre and post snacks never get adjusted,,,,
6:30 AM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,130,50,1000,,,,,,,
,Adjustments,2.73138333333333,-2.18480146666667,46.3755769338961,<- Does not change,,,,,,
1:00 PM,Pre Snack,50.121916,0,463.755769338961,,,,,,,
,Consumed,0,0,0,,,,,,,
,Adjustments,0,0,0,<- Pre- and Post- snacks never get adjusted,,,,,,
3:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,0,0,0,,,,,,,
,Adjustments,-4.78728556666667,-2.18480146666667,46.3755769338961,,,,,,,
5:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,0,0,0,,,,,,,
,Adjustments,-4.78728556666667,-2.18480146666667,46.3755769338961,,,,,,,
,,,,,,,,,,,
CASE 5 - User opens app between third and fourth meals (let's say 2PM) and does not meet all recommendations perfectly,,,,,,,,,,,
,,Carbs,Protein,Calories,,,Carbs,Protein,Calories,,
3:30 AM,Pre Snack,48.19415,0,463.755769338961,,temp_adjustment,-6.60341966666669,-16.7443860666667,150.69932714487,,
,Consumed,40,20,300,,,^ 2 meals remain,,,,
6:30 AM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,130,50,1000,,,,,,,
,Adjustments,2.73138333333333,-2.18480146666667,46.3755769338961,<- Does not change,,,,,,
1:00 PM,Pre Snack,50.121916,0,463.755769338961,,,,,,,
,Consumed,40,5,300,,,,,,,
,Adjustments,0,0,0,<- Pre- and Post- snacks never get adjusted,,,,,,
3:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,0,0,0,,,,,,,
,Adjustments,-4.78728556666667,-2.18480146666667,46.3755769338961,,,,,,,
5:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,0,0,0,,,,,,,
,Adjustments,-4.78728556666667,-2.18480146666667,46.3755769338961,,,,,,,
,,,,,,,,,,,
CASE 6 - User opens app between fourth and fifth meals (let's say 5PM) and did not log meals for the fourth,,,,,,,,,,,
,,Carbs,Protein,Calories,,,Carbs,Protein,Calories,,
3:30 AM,Pre Snack,48.19415,0,463.755769338961,,temp_adjustment,-13.2068393333334,-33.4887721333334,301.39865428974,,
,Consumed,40,20,300,,,^ 1 meal remains,,,,
6:30 AM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,130,50,1000,,,,,,,
,Adjustments,2.73138333333333,-2.18480146666667,46.3755769338961,<- Does not change,,,,,,
1:00 PM,Pre Snack,50.121916,0,463.755769338961,,,,,,,
,Consumed,40,5,300,,,,,,,
,Adjustments,0,0,0,<- Pre- and Post- snacks never get adjusted,,,,,,
3:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,0,0,0,"<- User did not log meals, so assume 100% consumption including adjustments",,,,,,
,Adjustments,-4.78728556666667,-2.18480146666667,46.3755769338961,<- Does not change,,,,,,
5:30 PM,Meal,95.7457113333333,43.6960293333333,927.511538677922,,,,,,,
,Consumed,0,0,0,,,,,,,
,Adjustments,-4.78728556666667,-2.18480146666667,46.3755769338961,,,,,,,
